Day,Dark,Light,Dark_n,Light_n,amplitude
1,0.891826192646612,0.0995033630533396,9873.0,51144.0,0.7923228295932724
2,0.44730548469387754,0.07055311455420775,12544.0,95134.0,0.3767523701396698
3,0.7246875161184946,0.21040656572496547,58163.0,36919.0,0.5142809503935291
4,0.952082898671674,0.250397285573165,14379.0,23283.0,0.701685613098509
5,0.7158269869166178,0.1424289995718567,20484.0,7007.0,0.5733979873447611
6,0.9824284439563457,0.3892159442215352,14569.0,60812.0,0.5932124997348105
7,0.9267096855823369,0.952049512204527,31614.0,51866.0,-0.025339826622190142
8,0.8945585146032391,0.6594592307366818,14757.0,23633.0,0.23509928386655732
9,0.9828360603144048,0.7188408772109891,12468.0,29229.0,0.26399518310341574
10,0.9608465608465608,0.7250685436019151,19845.0,48874.0,0.23577801724464575
11,0.8492016558249557,0.7465903198899885,8455.0,44359.0,0.10261133593496718
12,0.9931480776551199,0.6556244713842684,13135.0,21282.0,0.33752360627085154
13,0.9672348749476037,0.8616915040712859,14314.0,26036.0,0.10554337087631782
23,0.9779996615332543,0.000489077274209325,11818.0,6134.0,0.977510584259045
24,0.9951058762112956,0.9760479041916168,30649.0,12024.0,0.019057972019678848
30,0.9997542494368217,0.00022775152308831064,48830.0,17563.0,0.9995264979137334
