OSD_ID,table,column,n_unique,values
OSD-1,s_OSD-1.txt,Source Name,18,GSM1287094 1 | GSM1287095 1 | GSM1287096 1 | GSM1287097 1 | GSM1287098 1 | GSM1287099 1 | GSM1287100 1 | GSM1287101 1
OSD-1,s_OSD-1.txt,Sample Name,18,Dmel_OR_wo_FLT_uninfd_Rep1 | Dmel_OR_wo_FLT_uninfd_Rep2 | Dmel_OR_wo_FLT_uninfd_Rep3 | Dmel_OR_wo_GC_uninfd_Rep1 | Dmel_OR_wo_GC_uninfd_Rep2 | Dmel_OR_wo_GC_uninfd_Rep3 | Dmel_OR_wo_FLT_infdw-Ecol_Rep1 | Dmel_OR_wo_FLT_infdw-Ecol_Rep2
OSD-1,s_OSD-1.txt,Characteristics[Organism],1,Drosophila melanogaster
OSD-1,s_OSD-1.txt,Characteristics[strain],1,Oregon-R
OSD-1,s_OSD-1.txt,Characteristics[Sex],1,Male
OSD-1,s_OSD-1.txt,Characteristics[developmental stage],1,Adult
OSD-1,s_OSD-1.txt,Characteristics[Material Type],1,Whole Organism
OSD-1,s_OSD-1.txt,Characteristics[Experiment Start Date (DD/MM/YYYY)],1,04/07/2006
OSD-1,s_OSD-1.txt,Characteristics[Experiment End Date (DD/MM/YYYY)],1,17/04/2006
OSD-1,s_OSD-1.txt,Factor Value[Spaceflight],2,Space Flight | Ground Control
OSD-1,s_OSD-1.txt,Factor Value[Infection],3,uninfected | infected with Escherichia coli | infected with Beauveria bassiana
OSD-1,s_OSD-1.txt,Protocol REF,1,treatment protocol
OSD-1,s_OSD-1.txt,Protocol REF.1,1,radiation dosimetry
OSD-1,s_OSD-1.txt,Parameter Value[vehicle],2,spacecraft | Not Applicable
OSD-1,s_OSD-1.txt,Parameter Value[absorbed radiation dose],1,2.84
OSD-1,s_OSD-1.txt,Parameter Value[absorbed radiation dose rate],1,0.22
OSD-1,s_OSD-1.txt,Parameter Value[exposure duration],1,12.79
OSD-1,s_OSD-1.txt,Parameter Value[ionizing radiation categorized by source],2,outer space | Not Applicable
OSD-1,s_OSD-1.txt,Parameter Value[ionizing radiation],2,space radiation | non-irradiated
OSD-1,s_OSD-1.txt,Comment [Sample_description],6,"Gene expression data from a pool of 4-20 whole flies hatched and raised in microgravity, u | Gene expression data from a pool of 4-20 whole flies hatched and raised in earth gravity,  | Gene expression data from a pool of 4-20 whole flies hatched and raised in microgravity, i | Gene expression data from a pool of 4-20 whole flies hatched and raised in earth gravity,  | Gene expression data from a pool of 4-20 whole flies hatched and raised in microgravity, i | Gene expression data from a pool of 4-20 whole flies hatched and raised in earth gravity, "
OSD-1,s_OSD-1.txt,Comment [Sample_source_name],3,Whole homogenized uninfected drosophila | Whole homogenized drosophila infected with Escherichia coli | Whole homogenized drosophila infected with Beauveria bassiana
OSD-1,s_OSD-1.txt,Comment [Sample_title],18,Whole fly tissue: hatched and raised in microgravity uninfected biological rep 1 | Whole fly tissue: hatched and raised in microgravity uninfected biological rep 2 | Whole fly tissue: hatched and raised in microgravity uninfected biological rep 3 | Whole fly tissue: hatched and raised in earth gravity uninfected biological rep 1 | Whole fly tissue: hatched and raised in earth gravity uninfected biological rep 2 | Whole fly tissue: hatched and raised in earth gravity uninfected biological rep 3 | Whole fly tissue: hatched and raised in microgravity bacterial infection biological rep 1 | Whole fly tissue: hatched and raised in microgravity bacterial infection biological rep 2
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Sample Name,18,Dmel_OR_wo_FLT_uninfd_Rep1 | Dmel_OR_wo_FLT_uninfd_Rep2 | Dmel_OR_wo_FLT_uninfd_Rep3 | Dmel_OR_wo_GC_uninfd_Rep1 | Dmel_OR_wo_GC_uninfd_Rep2 | Dmel_OR_wo_GC_uninfd_Rep3 | Dmel_OR_wo_FLT_infdw-Ecol_Rep1 | Dmel_OR_wo_FLT_infdw-Ecol_Rep2
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Protocol REF,1,RNA Extraction
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Extract Name,18,GSM1287094 extract 1 | GSM1287095 extract 1 | GSM1287096 extract 1 | GSM1287097 extract 1 | GSM1287098 extract 1 | GSM1287099 extract 1 | GSM1287100 extract 1 | GSM1287101 extract 1
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Protocol REF.1,1,Labeling
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Labeled Extract Name,18,GSM1287094 LE 1 | GSM1287095 LE 1 | GSM1287096 LE 1 | GSM1287097 LE 1 | GSM1287098 LE 1 | GSM1287099 LE 1 | GSM1287100 LE 1 | GSM1287101 LE 1
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Label,1,biotin
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Protocol REF.2,1,Nucleic Acid Hybridization
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Hybridization Assay Name,18,GSM1287094 | GSM1287095 | GSM1287096 | GSM1287097 | GSM1287098 | GSM1287099 | GSM1287100 | GSM1287101
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Protocol REF.3,1,Data Collection
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Array Design REF,1,AFFY Drosophila 2
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Array Data File,18,GLDS-1_microarray_GSM1287094_01_USC.CEL.gz | GLDS-1_microarray_GSM1287095_02_USC.CEL.gz | GLDS-1_microarray_GSM1287096_03_USC.CEL.gz | GLDS-1_microarray_GSM1287097_04_UGC.CEL.gz | GLDS-1_microarray_GSM1287098_05_UGC.CEL.gz | GLDS-1_microarray_GSM1287099_06_UGC.CEL.gz | GLDS-1_microarray_GSM1287100_07_ISB.CEL.gz | GLDS-1_microarray_GSM1287101_08_ISB.CEL.gz
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Protocol REF.4,1,Normalization Data Transformation
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Derived Array Data File,1,GLDS-1_microarray_E-GEOD-53196.processed.1.zip
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Protocol REF.5,1,GeneLab microarray data processing protocol
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Parameter Value[array data file],18,"GLDS-1_array_Dmel_OR_wo_FLT_uninfd_Rep1_GSM1287094_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_FLT_ | GLDS-1_array_Dmel_OR_wo_FLT_uninfd_Rep2_GSM1287095_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_FLT_ | GLDS-1_array_Dmel_OR_wo_FLT_uninfd_Rep3_GSM1287096_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_FLT_ | GLDS-1_array_Dmel_OR_wo_GC_uninfd_Rep1_GSM1287097_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_GC_un | GLDS-1_array_Dmel_OR_wo_GC_uninfd_Rep2_GSM1287098_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_GC_un | GLDS-1_array_Dmel_OR_wo_GC_uninfd_Rep3_GSM1287099_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_GC_un | GLDS-1_array_Dmel_OR_wo_FLT_infdw-Ecol_Rep1_GSM1287100_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_ | GLDS-1_array_Dmel_OR_wo_FLT_infdw-Ecol_Rep2_GSM1287101_raw.CEL.gz,GLDS-1_array_Dmel_OR_wo_"
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Parameter Value[Raw Intensities Table],1,GLDS-1_array_raw_intensities_probe.csv
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Parameter Value[Normalized Expression Table],1,"GLDS-1_array_normalized_expression_probeset.csv,GLDS-1_array_normalized_intensities_probe."
OSD-1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Parameter Value[differential expression analysis data],1,"GLDS-1_array_SampleTable.csv,GLDS-1_array_contrasts.csv,GLDS-1_array_differential_expressi"
OSD-2,s_OSD-2.txt,Source Name,12,GSM415003 1 | GSM415004 1 | GSM415005 1 | GSM415006 1 | GSM415007 1 | GSM415008 1 | GSM415009 1 | GSM415010 1
OSD-2,s_OSD-2.txt,Sample Name,12,GSM415003 | GSM415004 | GSM415005 | GSM415006 | GSM415007 | GSM415008 | GSM415009 | GSM415010
OSD-2,s_OSD-2.txt,Characteristics[organism],1,Homo sapiens
OSD-2,s_OSD-2.txt,Characteristics[cell line],1,TK-6 cell
OSD-2,s_OSD-2.txt,Characteristics[cell type],1,lymphoblastoid cell line
OSD-2,s_OSD-2.txt,Characteristics[genotype],1,Wild Type
OSD-2,s_OSD-2.txt,Characteristics[Material Type],1,Cells
OSD-2,s_OSD-2.txt,Factor Value[Ionizing Radiation],3,sham-irradiated | Fe-56 ion radiation | Cesium-137 gamma radiation
OSD-2,s_OSD-2.txt,Factor Value[Absorbed Radiation Dose],3,0 | 1.67 | 2.5
OSD-2,s_OSD-2.txt,Protocol REF,1,Growth Protocol
OSD-2,s_OSD-2.txt,Protocol REF.1,1,irradiation protocol
OSD-2,s_OSD-2.txt,Parameter Value[particle charge],2,Not applicable | 26
OSD-2,s_OSD-2.txt,Parameter Value[ionizing radiation energy],2,1000 | 0.662
OSD-2,s_OSD-2.txt,Parameter Value[linear energy transfer],1,150
OSD-2,s_OSD-2.txt,Parameter Value[absorbed radiation dose rate],2,0 | 1.1
OSD-2,s_OSD-2.txt,Parameter Value[exposure duration],1,2.27
OSD-2,s_OSD-2.txt,Parameter Value[ionizing radiation categorized by source],2,particle accelerator | gamma irradiator
OSD-2,s_OSD-2.txt,Parameter Value[ionizing radiation device],2,NSRL | Gammacell 40
OSD-2,s_OSD-2.txt,Comment[NSRL Run],2,NSRL-5 and NSRL-6 | Not Applicable
OSD-2,s_OSD-2.txt,Comment [Sample_source_name],4,TK6 24 hours after mock HZE irradiation | TK6 24 hours after irradiation with 1.67 Gy iron ions | TK6 24 hours after mock gamma irradiation | TK6 24 hours after irradiation with 2.5 Gy gamma-rays
OSD-2,s_OSD-2.txt,Comment [Sample_description],3,biological replicate 1 | biological replicate 2 | biological replicate 3
OSD-2,s_OSD-2.txt,Comment [Sample_title],12,Control for iron 1 | Iron 1 | Control for iron 2 | Iron 2 | Control for iron 3 | Iron 3 | Control for gamma 1 | Gamma 1
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Sample Name,12,GSM415003 | GSM415004 | GSM415005 | GSM415006 | GSM415007 | GSM415008 | GSM415009 | GSM415010
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Protocol REF,1,RNA Extraction
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Extract Name,12,GSM415003 extract 1 | GSM415004 extract 1 | GSM415005 extract 1 | GSM415006 extract 1 | GSM415007 extract 1 | GSM415008 extract 1 | GSM415009 extract 1 | GSM415010 extract 1
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Protocol REF.1,1,Labeling
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Label,2,Cy5 | Cy3
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Protocol REF.2,1,Nucleic Acid Hybridization
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Hybridization Assay Name,12,GSM415003 | GSM415004 | GSM415005 | GSM415006 | GSM415007 | GSM415008 | GSM415009 | GSM415010
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Array Design REF,1,GPL8688
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Protocol REF.3,1,Data Collection
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Array Data File,12,GLDS-2_microarray_GSM415003.txt.gz | GLDS-2_microarray_GSM415004.txt.gz | GLDS-2_microarray_GSM415005.txt.gz | GLDS-2_microarray_GSM415006.txt.gz | GLDS-2_microarray_GSM415007.txt.gz | GLDS-2_microarray_GSM415008.txt.gz | GLDS-2_microarray_GSM415009.txt.gz | GLDS-2_microarray_GSM415010.txt.gz
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Protocol REF.4,1,Normalization Data Transformation
OSD-2,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Derived Data File Name,12,GLDS-2_microarray_GSM415003_sample_table.txt | GLDS-2_microarray_GSM415004_sample_table.txt | GLDS-2_microarray_GSM415005_sample_table.txt | GLDS-2_microarray_GSM415006_sample_table.txt | GLDS-2_microarray_GSM415007_sample_table.txt | GLDS-2_microarray_GSM415008_sample_table.txt | GLDS-2_microarray_GSM415009_sample_table.txt | GLDS-2_microarray_GSM415010_sample_table.txt
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Sample Name,18,Dmel_Hml-GAL4-UAS-GFP_wo_GC_Adult_Rep3 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_Adult_Rep2 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_Adult_Rep1 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_3rd-Instar-Larva_Rep6 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_3rd-Instar-Larva_Rep5 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_3rd-Instar-Larva_Rep4 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_3rd-Instar-Larva_Rep3 | Dmel_Hml-GAL4-UAS-GFP_wo_GC_3rd-Instar-Larva_Rep2
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Extract Name,18,GSM588931 extract 1 | GSM588932 extract 1 | GSM588933 extract 1 | GSM588934 extract 1 | GSM588935 extract 1 | GSM588936 extract 1 | GSM588937 extract 1 | GSM588938 extract 1
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF,1,P-GSE23880-2
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.1,1,P-GSE23880-3
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Labeled Extract Name,18,GSM588931 LE 1 | GSM588932 LE 1 | GSM588933 LE 1 | GSM588934 LE 1 | GSM588935 LE 1 | GSM588936 LE 1 | GSM588937 LE 1 | GSM588938 LE 1
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Label,1,biotin
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.2,1,P-GSE23880-4
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Hybridization Assay Name,18,GSM588931 | GSM588932 | GSM588933 | GSM588934 | GSM588935 | GSM588936 | GSM588937 | GSM588938
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Array Design REF,1,AFFY Drosophila 2
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.3,1,P-GSE23880-5
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Array Data File,18,GLDS-3_microarray_GSM588931.CEL | GLDS-3_microarray_GSM588932.CEL | GLDS-3_microarray_GSM588933.CEL | GLDS-3_microarray_GSM588934.CEL | GLDS-3_microarray_GSM588935.CEL | GLDS-3_microarray_GSM588936.CEL | GLDS-3_microarray_GSM588937.CEL | GLDS-3_microarray_GSM588938.CEL
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.4,1,GeneLab microarray data processing protocol
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[Raw Intensities Table],1,GLDS-3_array_raw_intensities_probe_GLmicroarray.csv
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[Normalized Expression Table],1,"GLDS-3_array_normalized_expression_probeset_GLmicroarray.csv,GLDS-3_array_normalized_inten"
OSD-3,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[differential expression analysis data],1,"GLDS-3_array_SampleTable_GLmicroarray.csv,GLDS-3_array_contrasts_GLmicroarray.csv,GLDS-3_a"
OSD-3,s_OSD-3.txt,Source Name,18,GSM588931 1 | GSM588932 1 | GSM588933 1 | GSM588934 1 | GSM588935 1 | GSM588936 1 | GSM588937 1 | GSM588938 1
OSD-3,s_OSD-3.txt,Sample Name,18,Dmel_Hml-GAL4-UAS-GFP_wo_FLT_3rd-Instar-Larva_Rep1 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_3rd-Instar-Larva_Rep2 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_3rd-Instar-Larva_Rep3 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_3rd-Instar-Larva_Rep4 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_3rd-Instar-Larva_Rep5 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_3rd-Instar-Larva_Rep6 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_Adult_Rep1 | Dmel_Hml-GAL4-UAS-GFP_wo_FLT_Adult_Rep2
OSD-3,s_OSD-3.txt,Comment[Original Submitted Sample Name],18,GSM588931 extract 1 | GSM588932 extract 1 | GSM588933 extract 1 | GSM588934 extract 1 | GSM588935 extract 1 | GSM588936 extract 1 | GSM588937 extract 1 | GSM588938 extract 1
OSD-3,s_OSD-3.txt,Characteristics[Organism],1,Drosophila melanogaster
OSD-3,s_OSD-3.txt,Characteristics[Genotype],1,Hml-Gal4/UAS-GFP transgenic line
OSD-3,s_OSD-3.txt,Characteristics[Sex],2,Not Applicable | Female
OSD-3,s_OSD-3.txt,Characteristics[Material Type],1,Whole Organism
OSD-3,s_OSD-3.txt,Factor Value[Developmental Stage],2,third instar larva stage | adult
OSD-3,s_OSD-3.txt,Factor Value[Spaceflight],2,Space Flight | Ground Control
OSD-3,s_OSD-3.txt,Protocol REF,1,growth protocol
OSD-3,s_OSD-3.txt,Protocol REF.1,1,treatment protocol
OSD-3,s_OSD-3.txt,Protocol REF.2,1,sample collection protocol
OSD-3,s_OSD-3.txt,Protocol REF.3,1,Radiation Dosimetry
OSD-3,s_OSD-3.txt,Parameter Value[Exposure Duration],2,12.79 | 0
OSD-3,s_OSD-3.txt,Parameter Value[Absorbed Radiation Dose],2,2.84 | 0
OSD-3,s_OSD-3.txt,Parameter Value[Maximum Total Absorbed Dose],2,3.07 | 0
OSD-3,s_OSD-3.txt,Parameter Value[Minimum Total Absorbed Dose],2,2.39 | 0
OSD-3,s_OSD-3.txt,Comment [Sample_description],4,6 sets of 50 mid 3rd instar larvae collected on the day of landing | 3 sets of 20 adults each was prepared from adult females that emerged during the flight an | 6 sets of 50 mid 3rd instar control larvae | 3 sets of 20 adults each was prepared from adult females from the corresponding control ca
OSD-3,s_OSD-3.txt,Parameter Value[ionizing radiation],2,space radiation | non-irradiated
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Sample Name,8,Mmus_C57-6T_TMS_FLT_Rep1 | Mmus_C57-6T_TMS_FLT_Rep2 | Mmus_C57-6T_TMS_FLT_Rep3 | Mmus_C57-6T_TMS_FLT_Rep4 | Mmus_C57-6T_TMS_GC_Rep1 | Mmus_C57-6T_TMS_GC_Rep2 | Mmus_C57-6T_TMS_GC_Rep3 | Mmus_C57-6T_TMS_GC_Rep4
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF,1,RNA Extraction
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[QA Instrument],1,ND-1000 spectrophometer
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Extract Name,1,total RNA
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.1,1,Labeling
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Labeled Extract Name,8,GSM458594 | GSM458595 | GSM458596 | GSM458597 | GSM458598 | GSM458599 | GSM458600 | GSM458601
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Label,1,Biotin
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.2,1,Nucleic Acid Hybridization
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Hybridization Assay Name,8,Mmus_C57-6T_TMS_FLT_Rep1 | Mmus_C57-6T_TMS_FLT_Rep2 | Mmus_C57-6T_TMS_FLT_Rep3 | Mmus_C57-6T_TMS_FLT_Rep4 | Mmus_C57-6T_TMS_GC_Rep1 | Mmus_C57-6T_TMS_GC_Rep2 | Mmus_C57-6T_TMS_GC_Rep3 | Mmus_C57-6T_TMS_GC_Rep4
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Array Design REF,1,AFFY MoGene 1 0 st v1
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.3,1,Data Collection
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Array Data File,8,GLDS-4_microarray_GSM458594.CEL.gz | GLDS-4_microarray_GSM458595.CEL.gz | GLDS-4_microarray_GSM458596.CEL.gz | GLDS-4_microarray_GSM458597.CEL.gz | GLDS-4_microarray_GSM458598.CEL.gz | GLDS-4_microarray_GSM458599.CEL.gz | GLDS-4_microarray_GSM458600.CEL.gz | GLDS-4_microarray_GSM458601.CEL.gz
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.4,1,Normalization Data Transformation
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Normalization Name,1,RMA (Robust Multichip Average methodology)
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Derived Array Data File,8,GLDS-4_microarray_GSM458594-tbl-1.txt | GLDS-4_microarray_GSM458595-tbl-1.txt | GLDS-4_microarray_GSM458596-tbl-1.txt | GLDS-4_microarray_GSM458597-tbl-1.txt | GLDS-4_microarray_GSM458598-tbl-1.txt | GLDS-4_microarray_GSM458599-tbl-1.txt | GLDS-4_microarray_GSM458600-tbl-1.txt | GLDS-4_microarray_GSM458601-tbl-1.txt
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.5,1,GeneLab microarray data processing protocol
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[Raw Intensities Table],1,GLDS-4_array_raw_intensities_probe.csv
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[Normalized Expression Table],1,"GLDS-4_array_normalized_expression_probeset.csv,GLDS-4_array_normalized_intensities_probe."
OSD-4,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Parameter Value[differential expression analysis data],1,"GLDS-4_array_SampleTable.csv,GLDS-4_array_contrasts.csv,GLDS-4_array_differential_expressi"
OSD-4,s_OSD-4.txt,Source Name,8,Space-Flown Thymus (FLT)-1 | Space-Flown Thymus (FLT)-2 | Space-Flown Thymus (FLT)-3 | Space-Flown Thymus (FLT)-4 | Control Thymus (AEM)-1 | Control Thymus (AEM)-2 | Control Thymus (AEM)-3 | Control Thymus (AEM)-4
OSD-4,s_OSD-4.txt,Sample Name,8,Mmus_C57-6T_TMS_FLT_Rep1 | Mmus_C57-6T_TMS_FLT_Rep2 | Mmus_C57-6T_TMS_FLT_Rep3 | Mmus_C57-6T_TMS_FLT_Rep4 | Mmus_C57-6T_TMS_GC_Rep1 | Mmus_C57-6T_TMS_GC_Rep2 | Mmus_C57-6T_TMS_GC_Rep3 | Mmus_C57-6T_TMS_GC_Rep4
OSD-4,s_OSD-4.txt,Characteristics[Organism],1,Mus musculus
OSD-4,s_OSD-4.txt,Characteristics[Strain],1,C57BL/6NTac
OSD-4,s_OSD-4.txt,Characteristics[Animal Source],1,Taconic Biosciences
OSD-4,s_OSD-4.txt,Characteristics[Age at Launch],1,8
OSD-4,s_OSD-4.txt,Characteristics[Sex],1,Female
OSD-4,s_OSD-4.txt,Factor Value[Spaceflight],2,Space Flight | Ground Control
OSD-4,s_OSD-4.txt,Characteristics[Material Type],1,thymus
OSD-4,s_OSD-4.txt,Protocol REF,1,Animal Husbandry
OSD-4,s_OSD-4.txt,Parameter Value[Habitat],1,Animal enclosure modules (AEM)
OSD-4,s_OSD-4.txt,Parameter Value[Housing Temperature],2,81.5 | 82.4
OSD-4,s_OSD-4.txt,Parameter Value[Diet],1,Food Bar
OSD-4,s_OSD-4.txt,Protocol REF.1,1,treatment protocol
OSD-4,s_OSD-4.txt,Protocol REF.2,1,radiation dosimetry
OSD-4,s_OSD-4.txt,Parameter Value[exposure duration],1,12.76
OSD-4,s_OSD-4.txt,Parameter Value[absorbed radiation dose],1,3.15
OSD-4,s_OSD-4.txt,Parameter Value[absorbed radiation dose rate],1,0.25
OSD-4,s_OSD-4.txt,Parameter Value[vehicle],2,Space Shuttle | Not Applicable
OSD-4,s_OSD-4.txt,Parameter Value[ionizing radiation],2,space radiation | non-irradiated
OSD-4,s_OSD-4.txt,Parameter Value[ionizing radiation categorized by source],2,outer space | Not Applicable
OSD-4,s_OSD-4.txt,Protocol REF.3,1,sample collection
OSD-4,s_OSD-4.txt,Parameter Value[Sample Preservation Method],1,Dry Ice
OSD-4,s_OSD-4.txt,Parameter Value[Sample Storage Temperature],1,-80
OSD-4,s_OSD-4.txt,Parameter Value[Euthanasia Method],1,100% CO2
OSD-4,s_OSD-4.txt,Comment[Original Sample ID],8,GSM458594 | GSM458595 | GSM458596 | GSM458597 | GSM458598 | GSM458599 | GSM458600 | GSM458601
OSD-5,a_OSD-5_transcription-profiling_dna-microarray_affymetrix.txt,Sample Name,6,GSM96148 sample | GSM96147 sample | GSM96151 sample | GSM96149 sample | GSM96150 sample | GSM96146 sample
OSD-5,a_OSD-5_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF,1,nucleic acid extraction protocol
OSD-5,a_OSD-5_transcription-profiling_dna-microarray_affymetrix.txt,Extract Name,6,GSM96148 extract | GSM96147 extract | GSM96151 extract | GSM96149 extract | GSM96150 extract | GSM96146 extract
OSD-5,a_OSD-5_transcription-profiling_dna-microarray_affymetrix.txt,Protocol REF.1,1,labeling protocol
