OSD_ID,n_isa_tables,has_geneLab_counts,n_files,organism,material,n_samples,n_assays,assays,factors,factor_values
OSD-1,2,False,73,Drosophila melanogaster,Whole Organism,18,1,a_OSD-1_transcription-profiling_dna-microarray_Affymetrix.txt,Factor Value[Infection]; Factor Value[Spaceflight],"{""Factor Value[Spaceflight]"": [""Space Flight"", ""Ground Control""], ""Factor Value[Infection]"": [""uninfected"", ""infected with Escherichia coli"", ""infected with Beauveria bassiana""]}"
OSD-2,2,False,25,Homo sapiens,Cells,12,1,a_OSD-2_transcription-profiling_dna-microarray_agilent.txt,Factor Value[Absorbed Radiation Dose]; Factor Value[Ionizing Radiation],"{""Factor Value[Ionizing Radiation]"": [""sham-irradiated"", ""Fe-56 ion radiation"", ""Cesium-137 gamma radiation""], ""Factor Value[Absorbed Radiation Dose]"": [""0"", ""1.67"", ""2.5""]}"
OSD-3,2,False,30,Drosophila melanogaster,Whole Organism,18,1,a_OSD-3_transcription-profiling_dna-microarray_affymetrix.txt,Factor Value[Developmental Stage]; Factor Value[Spaceflight],"{""Factor Value[Developmental Stage]"": [""third instar larva stage"", ""adult""], ""Factor Value[Spaceflight]"": [""Space Flight"", ""Ground Control""]}"
OSD-4,2,False,28,Mus musculus,thymus,8,1,a_OSD-4_transcription-profiling_dna-microarray_affymetrix.txt,Factor Value[Spaceflight],"{""Factor Value[Spaceflight]"": [""Space Flight"", ""Ground Control""]}"
OSD-5,2,False,3,Homo sapiens,primary cell,6,1,a_OSD-5_transcription-profiling_dna-microarray_affymetrix.txt,Factor Value[Microgravity Simulation],"{""Factor Value[Microgravity Simulation]"": [""1G on Earth"", ""uG by RWV""]}"
OSD-6,2,False,18,Rattus norvegicus,Cells,6,1,a_OSD-6_transcription-profiling_dna-microarray_affymetrix.txt,Factor Value[Ionizing Radiation],"{""Factor Value[Ionizing Radiation]"": [""non-irradiated"", ""Fe-56 ion radiation""]}"
OSD-7,2,False,46,Arabidopsis thaliana,Plant Roots; Plant Shoots; Whole Organism; hypocotyl,36,1,a_OSD-7_transcription-profiling_dna-microarray_affymetrix.txt,Factor Value[Organism Part]; Factor Value[Spaceflight],"{""Factor Value[Organism Part]"": [""Whole Organism"", ""Plant Shoots"", ""hypocotyl"", ""Plant Roots""], ""Factor Value[Spaceflight]"": [""Space Flight"", ""Ground Control""]}"
OSD-8,2,False,22,Arabidopsis thaliana,cell culture,40,1,a_OSD-8_transcription-profiling_dna-microarray_Agilent.txt,Factor Value[Altered Gravity]; Factor Value[Magnetic Field],"{""Factor Value[Altered Gravity]"": [""1G on Earth"", ""1G by centrifugation"", ""uG by random positioning machine"", ""1G by random positioning machine"", ""uG by Magnetic Levitation"", ""0.1G by Magnetic Levitation"", ""2G by centrifugation"", ""2G by Magnetic Levitation""], ""Factor Value[Magnetic Field]"": [""0"", ""10.1"", ""14.7"", ""16.5""]}"
OSD-9,2,False,7,Homo sapiens,Cells,6,1,a_OSD-9_transcription-profiling_dna-microarray_Compugen.txt,Factor Value[Ionizing Radiation],"{""Factor Value[Ionizing Radiation]"": [""sham-irradiated"", ""Fe-56 ion radiation""]}"
OSD-11,2,False,25,Salmonella enterica,Cells,48,1,a_OSD-11_transcription-profiling_dna-microarray_sidney kimmel cancer center non-commercial.txt,Factor Value[Spaceflight],"{""Factor Value[Spaceflight]"": [""Space Flight"", ""Ground Control""]}"
OSD-12,2,False,2,Saccharomyces cerevisiae,Cells,12,1,a_OSD-12_transcription-profiling_dna-microarray_Affymetrix.txt,Factor Value[Microgravity Simulation]; Factor Value[generation],"{""Factor Value[generation]"": [""25th"", ""5th""], ""Factor Value[Microgravity Simulation]"": [""1G by HARV"", ""uG by HARV""]}"
OSD-13,2,False,21,Homo sapiens,Primary T Cells,9,1,a_OSD-13_transcription-profiling_dna-microarray_Affymetrix.txt,Factor Value[Altered Gravity]; Factor Value[Spaceflight]; Factor Value[Treatment],"{""Factor Value[Spaceflight]"": [""Space Flight""], ""Factor Value[Altered Gravity]"": [""uG"", ""1G by centrifugation""], ""Factor Value[Treatment]"": [""Activated"", ""Non-activated""]}"
OSD-14,2,False,20,Pseudomonas aeruginosa,Cells,8,1,a_OSD-14_transcription-profiling_dna-microarray_Affymetrix.txt,Factor Value[Microgravity Simulation],"{""Factor Value[Microgravity Simulation]"": [""uG by RWV"", ""1G by RWV"", ""uG by random positioning machine""]}"
OSD-15,2,False,20,Pseudomonas aeruginosa,Cells,8,1,a_OSD-15_transcription-profiling_dna-microarray_Affymetrix.txt,Factor Value[Microgravity Simulation]; Factor Value[Spaceflight],"{""Factor Value[Spaceflight]"": [""Ground Control"", ""Not Applicable"", ""Space Flight""], ""Factor Value[Microgravity Simulation]"": [""1G on Earth"", ""uG by rotating wall vessel"", ""Not Applicable""]}"
