OSD_ID,organism,rodent,material,n_samples,has_counts,omics,behavior_physio,G_values,G_labels,n_G_levels,T_varies,T_recorded_const,has_expr,tier
OSD-1,Drosophila melanogaster,False,Whole Organism,18,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-2,Homo sapiens,False,Cells,12,False,True,False,,,0,False,False,False,
OSD-3,Drosophila melanogaster,False,Whole Organism,18,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-4,Mus musculus,True,thymus,8,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-5,Homo sapiens,False,primary cell,6,False,True,False,0.0; 1.0,1G on Earth; modeled microgravity; uG by RWV,2,False,False,False,
OSD-6,Rattus norvegicus,True,Cells,6,False,True,False,,,0,False,False,False,
OSD-7,Arabidopsis thaliana,False,Plant Roots; Plant Shoots; Whole Organism; hypocotyl,36,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-8,Arabidopsis thaliana,False,cell culture,40,False,True,False,0.0; 0.1; 1.0; 2.0,0.1G by Magnetic Levitation; 1G by centrifugation; 1G by random positioning machine; 1G on Earth; 2G by Magnetic Levitation; 2G by centrifugation; uG ,4,False,False,False,
OSD-9,Homo sapiens,False,Cells,6,False,True,False,,,0,False,False,False,
OSD-11,Salmonella enterica,False,Cells,48,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-12,Saccharomyces cerevisiae,False,Cells,12,False,True,False,0.0; 1.0,1G by HARV; uG by HARV,2,False,False,False,
OSD-13,Homo sapiens,False,Primary T Cells,9,False,True,False,0.0; 1.0,1G by centrifugation; Space Flight; uG,2,False,False,False,
OSD-14,Pseudomonas aeruginosa,False,Cells,8,False,True,False,0.0; 1.0,1G by RWV; uG by RWV; uG by random positioning machine,2,False,False,False,
OSD-15,Pseudomonas aeruginosa,False,Cells,8,False,True,False,0.0; 1.0,1G on Earth; Ground Control; Space Flight; uG by rotating wall vessel,2,False,False,False,
OSD-16,Arabidopsis thaliana,False,Plant Leaves; Plant Roots,8,False,False,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-17,Arabidopsis thaliana,False,Seedlings; Undifferentiated Cell Culture,24,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-18,Mus musculus,True,Cells,2,False,True,False,0.0; 1.0,1G on Earth; uG by RWV,2,False,False,False,
OSD-19,Rattus norvegicus,True,Medial collateral ligament,8,False,True,False,0.0; 1.0,Hindlimb Unloaded; Normally Loaded Control,2,False,False,False,
OSD-20,Candida albicans,False,Cells,16,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-21,Mus musculus,True,Gastrocnemius; calf muscle,23,False,True,False,0.0; 1.0,Ground Control; Hindlimb Unloaded; Hindlimb Unloaded and Reloaded; Normally Loaded Control; Space Flight,2,False,False,True,4_binary_gravity
OSD-22,Arabidopsis thaliana,False,Plant Roots,20,False,True,False,,,0,False,False,False,
OSD-25,Mus musculus,True,Liver,17,False,True,False,0.0; 1.0,Ground Control; Space Flight; Vivarium Control,2,False,False,True,4_binary_gravity
OSD-26,Microbiota,False,Cells,6,False,False,False,0.0,Space Flight,1,False,False,False,
OSD-27,Drosophila melanogaster,False,Whole Organism,54,False,True,False,0.0; 1.0; 2.0,1G by magnetic levitator; 1G on Earth; 2G by magnetic levitator; uG by magnetic levitator; uG by random positioning machine,3,False,False,False,
OSD-28,Bacillus subtilis,False,germinating spores; total RNA,4,False,False,False,,,0,False,False,False,
OSD-29,Mus musculus,True,,8,False,True,False,0.0; 1.0,1G on Earth; 1G with centrifugation; Ground Control; Space Flight; Vivarium Control; uG,2,False,False,True,4_binary_gravity
OSD-30,Mus musculus,True,Cells,6,False,True,False,0.0; 1.0,1G on Earth; uG by RWV,2,False,False,True,4_binary_gravity
OSD-31,Rhodospirillum rubrum,False,Cells,20,False,True,False,0.0; 1.0,1G on Earth; Ground Control; Space Flight; uG; uG by 3D clinostat,2,False,False,False,
OSD-32,Mus musculus,True,Brain,8,False,True,False,0.0; 1.0,Hindlimb Unloaded; Normally Loaded Control,2,False,False,False,
OSD-33,Mus musculus,True,Brain,3,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-34,Drosophila melanogaster,False,Whole Organism,50,False,True,False,0.0; 1.0; 2.0,1G on Earth; 2G with centrifugation; 2G with magnetic levitation; uG with magnetic levitation; uG with random positioning machine,3,False,False,False,
OSD-35,Caenorhabditis elegans,False,,5,False,True,False,0.0; 1.0; 3.0,1G on Earth; 3G with centrifugation; Ground Control; Space Flight; Vivarium Control; uG; uG with clinorotation,3,False,False,False,
OSD-36,Drosophila melanogaster,False,,21,False,True,False,0.0; 1.0,10G with centrifugation; 1G on Earth; Ground Control; Space Flight; uG; uG with random positioning machine,2,False,False,False,
OSD-37,Arabidopsis thaliana,False,Seedlings,56,True,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,True,
OSD-38,Arabidopsis thaliana,False,Seedlings,36,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-39,Rhodospirillum rubrum,False,total_RNA; unknown,6,False,False,False,,,0,False,False,False,
OSD-40,Caenorhabditis elegans,False,total_RNA; unknown,12,False,False,False,,,0,False,False,False,
OSD-41,Caenorhabditis elegans,False,total RNA,18,False,False,False,,,0,False,False,False,
OSD-42,Caenorhabditis elegans,False,,6,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-43,Escherichia coli,False,,8,False,True,False,0.0; 1.0,1G on Earth; uG with clinorotation,2,False,False,False,
OSD-44,Arabidopsis thaliana,False,Whole Organism,12,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-45,Arabidopsis thaliana,False,Plant Roots,24,False,True,False,0.0; 1.0,1G by clinostat; uG by clinostat,2,False,False,False,
OSD-46,Arabidopsis thaliana,False,Seedlings,44,False,True,False,,,0,True,False,False,
OSD-47,Mus musculus,True,Liver,16,True,False,False,0.0; 1.0,Basal Control; Ground Control; Space Flight,2,False,False,True,4_binary_gravity
OSD-48,Mus musculus,True,Liver,32,True,False,False,0.0; 1.0,Basal Control; Ground Control; Space Flight; Vivarium Control,2,False,False,True,4_binary_gravity
OSD-49,Mus musculus,True,Liver,10,True,True,False,,,0,False,False,True,
OSD-50,Mus musculus,True,primary cell,4,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,True,4_binary_gravity
OSD-51,Homo sapiens,False,Skeletal Muscle Tissue,340,False,True,False,,,0,False,False,False,
OSD-52,Homo sapiens,False,Cells,6,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-53,Homo sapiens,False,Whole Blood,13,False,True,False,0.0,Space Flight,1,False,False,False,
OSD-54,Homo sapiens,False,Cells; reference RNA,24,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-55,Homo sapiens,False,Cells,24,False,True,False,0.0; 1.0,1G on Earth; uG by RWV,2,False,False,False,
OSD-56,Homo sapiens,False,,10,False,True,False,0.0; 1.0,1G by RWV; uG by RWV,2,False,False,False,
OSD-57,Ceratopteris richardii,False,Spores,1,False,True,False,,,0,False,False,False,
OSD-58,Saccharomyces cerevisiae,False,Cells,24,False,False,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-59,Brassica rapa,False,leaf,2,False,True,False,0.0; 1.0,Ground Control; Space Flight,2,False,False,False,
OSD-60,Danio rerio,False,Whole Organism,24,False,True,False,1.0; 3.0,1G on Earth for 6 days; 3G by centrifugation for 5 days followed; 3G by centrifugation for 6 days,2,False,False,False,
