tissue,effect,n_timepoints,min_n_per_tp,total_mice
가자미근 (OSD-714),CT16 인가 (지연),3,6.0,36.0
가자미근 (OSD-714),CT16 인가 (지연),4,5.0,40.0
가자미근 (OSD-714),CT16 인가 (지연),6,3.0,36.0
가자미근 (OSD-714),CT21 인가 (전진),3,,
가자미근 (OSD-714),CT21 인가 (전진),4,,
가자미근 (OSD-714),CT21 인가 (전진),6,,
망막 (OSD-758),CT16 인가 (지연),3,3.0,18.0
망막 (OSD-758),CT16 인가 (지연),4,3.0,24.0
망막 (OSD-758),CT16 인가 (지연),6,3.0,36.0
망막 (OSD-758),CT21 인가 (전진),3,,
망막 (OSD-758),CT21 인가 (전진),4,8.0,64.0
망막 (OSD-758),CT21 인가 (전진),6,6.0,72.0
시신경 (OSD-759),CT16 인가 (지연),3,10.0,60.0
시신경 (OSD-759),CT16 인가 (지연),4,8.0,64.0
시신경 (OSD-759),CT16 인가 (지연),6,5.0,60.0
시신경 (OSD-759),CT21 인가 (전진),3,,
시신경 (OSD-759),CT21 인가 (전진),4,,
시신경 (OSD-759),CT21 인가 (전진),6,,
