budget_per_group,tissue_sd,n_timepoints,n_per_timepoint,power
12,망막 (OSD-758),3,4,0.94375
12,망막 (OSD-758),4,3,0.9485
12,망막 (OSD-758),6,2,0.9475
12,가자미근 (OSD-714),3,4,0.631
12,가자미근 (OSD-714),4,3,0.63075
12,가자미근 (OSD-714),6,2,0.64
12,시신경 (OSD-759),3,4,0.3355
12,시신경 (OSD-759),4,3,0.35075
12,시신경 (OSD-759),6,2,0.34925
18,망막 (OSD-758),3,6,0.9955
18,망막 (OSD-758),4,4,0.98525
18,망막 (OSD-758),6,3,0.997
18,가자미근 (OSD-714),3,6,0.8465
18,가자미근 (OSD-714),4,4,0.77575
18,가자미근 (OSD-714),6,3,0.8505
18,시신경 (OSD-759),3,6,0.56325
18,시신경 (OSD-759),4,4,0.48775
18,시신경 (OSD-759),6,3,0.55125
24,망막 (OSD-758),3,8,0.99975
24,망막 (OSD-758),4,6,0.99925
24,망막 (OSD-758),6,4,0.999
24,가자미근 (OSD-714),3,8,0.94675
24,가자미근 (OSD-714),4,6,0.94425
24,가자미근 (OSD-714),6,4,0.946
24,시신경 (OSD-759),3,8,0.72975
24,시신경 (OSD-759),4,6,0.72925
24,시신경 (OSD-759),6,4,0.7285
36,망막 (OSD-758),3,12,1.0
36,망막 (OSD-758),4,9,1.0
36,망막 (OSD-758),6,6,1.0
36,가자미근 (OSD-714),3,12,0.993
36,가자미근 (OSD-714),4,9,0.99225
36,가자미근 (OSD-714),6,6,0.993
36,시신경 (OSD-759),3,12,0.89175
36,시신경 (OSD-759),4,9,0.89875
36,시신경 (OSD-759),6,6,0.898
