query,accession,title,organism,type,n_samples,platform,pubmed,summary
SCN_circadian,GSE150770,Suprachiasmatic VIP neurons are required for normal circadian rhythmicity with a subset expressing a molecularly distinct pacemaker profile,Mus musculus,Expression profiling by high throughput sequencing,192,19057,,The hypothalamic suprachiasmatic (SCN) clock contains several neurochemically defined cell groups that contribute to the genesis of circadian rhythms. Using cell specific and genetically-targeted approaches we have confirmed an indispensable role for vasoactive intestinal polypeptide expressing SCN 
SCN_circadian,GSE266472,Transcriptomic Plasticity of the Circadian Clock in Response to Photoperiod: A Study in Male Melatonin-Competent Mice,Mus musculus,Expression profiling by high throughput sequencing,123,24247,39096022,"Seasonal daylength, or circadian photoperiod, is a pervasive environmental signal that profoundly influences physiology and behavior. In mammals, the central circadian clock resides in the suprachiasmatic nuclei (SCN) of the hypothalamus where it receives retinal input and synchronizes, or entrains,"
SCN_circadian,GSE212079,Mice with humanized livers reveal the involvement of hepatocyte circadian clocks in the phase entrainment of rhythmic behavior and physiology,Mus musculus,Expression profiling by high throughput sequencing,98,21103,37196091,"The circadian clock represents an evolutionarily acquired gene network that synchronizes physiology to anticipate environmental changes caused by the succession of day and night. While most mammalian cells have a circadian clock, their synchronization depends on a central pacemaker located in the su"
SCN_circadian,GSE118404,Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus,Mus musculus,Expression profiling by high throughput sequencing,96,19057;21273,32066983,This SuperSeries is composed of the SubSeries listed below.
SCN_circadian,GSE126851,Regulation of the circadian clock by the metabolic enzyme AHCY,Mus musculus,Expression profiling by high throughput sequencing,79,21103,33328229,Mammalian circadian rhythms are based on coupled transcriptional-translational feedback loops driven by the transcription factors CLOCK and BMAL1. Chromatin remodeling mechanisms are essential for the proper timing and extent of circadian gene expression. We report that the S-adenosylhomocysteine (S
SCN_circadian,GSE222744,The clock gene Per1 may exert diurnal control over hippocampal memory consolidation,Mus musculus,Expression profiling by high throughput sequencing,72,30172,,"The circadian system influences many different biological processes, including memory performance. While the suprachiasmatic nucleus (SCN) functions as the brain’s central pacemaker, downstream “satellite clocks” may also regulate local functions based on the time of day. Within the dorsal hippocamp"
SCN_circadian,GSE252364,Effect of methionine/choline deficient diet on liver and suprachiasmatic nucleus circadian transcriptome.,Mus musculus,Expression profiling by high throughput sequencing,72,21103,,"The feeding/fasting cycles controlled by our circadian clock impose great daily metabolic and physiological changes, and yet investigations into the consequences of metabolic deficiencies, either dietary or genetic, have often ignored the time of day or the circadian time of the animals or subjects."
SCN_circadian,GSE186242,Dietary tryptophan and circadian rhythms,Mus musculus,Expression profiling by high throughput sequencing,72,24247,35914650,Mice were fed a normal chow diet or a tryptophan depleted diet for two weeks under normal 12-hr light/dark cycles (LD) or in constant darkness (DD). Mice were sacrificed every 4th hour over the 24-hr circadian cycle. The suprachiasmatic nucleus (SCN) was harvested and RNA was isolated using a standa
SCN_circadian,GSE261429,Zinc finger homeobox-3 (ZFHX3) exerts genome-wide regulation of dailygene expression in the suprachiasmatic nucleus [RNA-seq],Mus musculus,Expression profiling by high throughput sequencing,62,24247,40117332,"The mammalian suprachiasmatic nucleus (SCN), situated in the ventral hypothalamus, directs daily cellular and physiological 24-hr rhythms across the body. The cell-autonomous timing mechanism is based on a self-sustaining transcriptional-translational feedback loop (TTFL) that in turn co-ordinates t"
SCN_circadian,GSE282275,Adolescent circadian rhythm disruption increases reward and risk-taking,Mus musculus,Expression profiling by high throughput sequencing,62,19057,39737435,"Circadian rhythm disturbances have long been associated with the development of psychiatric disorders, including mood and substance use disorders. Adolescence is a particularly vulnerable time for the onset of psychiatric disorders and for circadian rhythm and sleep disruptions. Preclinical studies "
SCN_circadian,GSE196430,The central clock suffices to drive the majority of circulatory metabolic rhythms,Mus musculus,Expression profiling by high throughput sequencing,54,24247,35767612,This dataset was generated to investigate the independence of the central clock in regulating hepatic transcriptional rhythms.
SCN_circadian,GSE72095,Temporal transcriptomics suggest that twin-peaking genes reset the clock,Mus musculus,Expression profiling by high throughput sequencing,54,13112,26523393,"The mammalian suprachiasmatic nucleus (SCN) drives daily rhythmic behavior and physiology, yet a detailed understanding of its coordinated transcriptional programmes is lacking. To reveal the true nature of circadian variation in the mammalian SCN transcriptome we combined laser-capture microdissect"
SCN_circadian,GSE148252,NPAS4 regulates the transcriptional response of suprachiasmatic nucleus neurons to photic input,Mus musculus,Expression profiling by high throughput sequencing; Genome b,52,24247;19057,34416169,"In mammals, the hypothalamic suprachiasmatic nucleus (SCN) is the master circadian pacemaker. It is primarily entrained by environmental photic stimuli. However, the molecular bases of the response of heterogeneous cells in the SCN to photic stimuli is not fully understood. In this study, we combine"
SCN_circadian,GSE218242,Circadian rhythm-dependent programs control inflammatory responses and drug metabolism in primary human hepatocytes I.,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,49,25526,38657074,"Various aspects of physiology and cell function present self-sustained ~24h variations termed circadian rhythms, enabling anticipation and adaptation to the 24-h cycle produced by the Earth’s rotation. The circadian clock system consists of a central clock located in the suprachiasmatic nucleus in t"
SCN_circadian,GSE165799,Light-induced Changes in the Suprachiasmatic Nucleus Transcriptome Regulated by the ERK/MAPK Pathway,Mus musculus,Expression profiling by array,36,20775,34191798,"The mammalian master circadian pacemaker within the suprachiasmatic nucleus (SCN) maintains tight entrainment to the 24 hr light/dark cycle via a sophisticated clock-gated rhythm in the responsiveness of the oscillator to light. Intriguingly, entrainment is not merely a passive response, instead the"
