OSD_ID,title,factors,material,assay,has_flight_factor,ground_cue,brain_tissue
OSD-107,The Role of PTHrP in Osteoblast Response to Microgravity: Implications for Osteoporosis Development.,Treatment | Genotype | Microgravity Simulation,primary cell,DNA microarray,False,microgravity simulation,False
OSD-18,Microarray Profile of Gene Expression during Osteoclast Differentiation in Modeled Microgravity,Microgravity Simulation,Cells,DNA microarray,False,microgravity simulation,False
OSD-201,Impact of Antiorthostatic Suspension on Mouse response to Tetanus Toxoid and CpG,Hindlimb unloading | tetanus toxoid | vaccine adjuvant,Spleen,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-202,Low dose (0.04 Gy) irradiation (LDR) and hindlimb unloading (HLU) microgravity in mice: brain transcriptomic and epigeno,Ionizing Radiation | Hindlimb Unloading | Time of Sample Collection After Treatment,brain,RNA Sequencing (RNA-Seq)     DNA microarray     Reduced-Repr,False,hindlimb unloading,True
OSD-203,Low dose (0.04 Gy) irradiation (LDR) and hindlimb unloading (HLU) microgravity in mice: retina transcriptomic and epigen,Ionizing Radiation | Hindlimb Unloading | Time of Sample Collection After Treatment,Retina,RNA Sequencing (RNA-Seq)     Reduced-Representation Bisulfit,False,hindlimb unloading,False
OSD-21,Effects of spaceflight on murine skeletal muscle gene expression,Spaceflight | Hindlimb Unloading | Time | Tissue,Gastrocnemius     calf muscle,DNA microarray,True,hindlimb unloading,False
OSD-211,"Transcriptomic analysis of spleens from mice subjected to chronic low-dose radiation, hindlimb unloading or a combinatio",Ionizing Radiation | Hindlimb Unloading,Spleen,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-214,Impact of Antiorthostatic Suspension on Mouse response to Tetanus Toxoid and CpG: bone marrow transcriptomic data,Hindlimb Unloading | Tetanus Toxoid | Vaccine Adjuvant,Bone Marrow,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-227,Effect of acute muscle unloading on soleus and gastrocnemius muscle gene expression,Hindlimb Unloading | Tissue,,DNA microarray,False,hindlimb unloading,False
OSD-228,Hindlimb suspension and reloading study,Hindlimb Unloading | Hindlimb Reloading Duration,Soleus,DNA microarray,False,hindlimb unloading,False
OSD-237,"Transcriptomic analysis of skin from mice subjected to chronic low-dose radiation, hindlimb unloading or a combination o",Ionizing Radiation | Hindlimb Unloading,dorsal skin,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-295,RNA-Seq transcriptome profiling of soleus from adult and aged mice following disuse muscle atrophy and recovery,Hindlimb Unloading | Age | Hindlimb Reloading Duration,Soleus,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-30,Transcription profiling of mouse osteoblasts under static vs simulated microgravity,Microgravity Simulation,Cells,DNA microarray,False,microgravity simulation,False
OSD-32,Effect of microgravity on brain gene expression in mice,Hindlimb Unloading,Brain,DNA microarray,False,hindlimb unloading,True
OSD-334,miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Heart tissue,Hindlimb Unloading | Ionizing Radiation | Particle Charge,Heart,miRNA Sequencing,False,hindlimb unloading,False
OSD-335,miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Liver tissue,Hindlimb Unloading | Ionizing Radiation | Particle Charge,Liver,miRNA Sequencing,False,hindlimb unloading,False
OSD-336,miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Plasma,Hindlimb Unloading | Ionizing Radiation | Particle Charge,Plasma,miRNA Sequencing,False,hindlimb unloading,False
OSD-337,miRNA signature detection and countermeasures against HZE radiation exposure for tissue degeneration-Soleus muscle,Hindlimb Unloading | Ionizing Radiation | Particle Charge,Soleus,miRNA Sequencing,False,hindlimb unloading,False
OSD-467,Transcriptomic profiling of cortical bone from hindlimb unloaded mice,Hindlimb Unloading,Cortical Bone,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-548,Balancing apelin and angiotensin-II signaling to reduce heart injury during weightlessness,Hindlimb Unloading,cardiac muscle tissue,DNA microarray,False,hindlimb unloading,False
OSD-618,Combined space stressors induce independent behavioral deficits predicted by early peripheral blood monocytes (Behaviora,Hindlimb Unloading | Ionizing Radiation | Sex | Housing Condition,Whole Organism,Elevated Plus Maze     Open Field     Three Chamber Social I,False,hindlimb unloading,False
OSD-640,Combined space stressors induce independent behavioral deficits predicted by early peripheral blood monocytes (flow cyto,Hindlimb Unloading | Sex | Housing Condition | Ionizing Radiation,blood,Flow Cytometry,False,hindlimb unloading,False
OSD-661,"Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target (Lumbar Spine, HLS, DXA Scanning)",Hindlimb Unloading | Genotype,Lumbar Spine,Dual-Energy X-Ray Absorptiometry,False,hindlimb unloading,False
OSD-792,Transcriptomic analysis of embryonic mouse hypothalamic N38 cells exposed to high-energy protons and/or simulated microg,Ionizing Radiation | Microgravity Simulation,Cells,RNA Sequencing (RNA-Seq),False,microgravity simulation,True
OSD-876,Zfp697 is an RNA-binding protein that regulates skeletal muscle inflammation and remodeling,Hindlimb Unloading,Gastrocnemius,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-880,Zfp697 is an RNA-binding protein that regulates skeletal muscle inflammation and remodeling - Zfp697 skeletal muscle kno,Hindlimb Unloading | Genotype,Gastrocnemius,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-935,Long non‐coding RNAs Kcnq1ot1 and Lncpint are involved in skeletal muscle atrophy induced by the space exposome,Hindlimb Unloading | Ionizing Radiation | Treatment,Soleus,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-949,"Skeletal muscle-specific inducible AMPKa1/a2 knockout mice develop muscle weakness, glycogen depletion, and fibrosis tha",Genotype | Hindlimb Unloading | Sex,Soleus,RNA Sequencing (RNA-Seq),False,hindlimb unloading,False
OSD-980,Cold stress during room temperature housing alters skeletal response to simulated microgravity (hindlimb unloading) in g,Hindlimb Unloading | Material Type | Housing Temperature,,Micro-Computed Tomography,False,hindlimb unloading,False
