internal_phase_h,CT_h,phase_shift_h,converged,condition,kdeg,strength
0.0,6.0,0.4256835083384374,True,1G baseline (약한 자극 0.05),0.35,0.05
0.499,6.5,0.337636989410953,True,1G baseline (약한 자극 0.05),0.35,0.05
0.998,7.0,0.2361513301916176,True,1G baseline (약한 자극 0.05),0.35,0.05
1.497,7.5,0.12248477041720207,True,1G baseline (약한 자극 0.05),0.35,0.05
1.996,8.0,-0.005509630851463498,True,1G baseline (약한 자극 0.05),0.35,0.05
2.495,8.5,-0.1506872835382751,True,1G baseline (약한 자극 0.05),0.35,0.05
2.994,9.0,-0.31563579834997313,True,1G baseline (약한 자극 0.05),0.35,0.05
3.493,9.5,-0.5033343284204932,True,1G baseline (약한 자극 0.05),0.35,0.05
3.992,10.0,-0.7169725771993569,True,1G baseline (약한 자극 0.05),0.35,0.05
4.49,10.5,-0.9592917390726825,True,1G baseline (약한 자극 0.05),0.35,0.05
4.989,11.0,-1.2329372736625714,True,1G baseline (약한 자극 0.05),0.35,0.05
5.488,11.5,-1.5398990997113629,True,1G baseline (약한 자극 0.05),0.35,0.05
5.987,12.0,-1.880160315912235,True,1G baseline (약한 자극 0.05),0.35,0.05
6.486,12.5,-2.2517214419879394,True,1G baseline (약한 자극 0.05),0.35,0.05
6.985,13.0,-2.6483120361529586,True,1G baseline (약한 자극 0.05),0.35,0.05
7.484,13.5,-3.057289518769835,True,1G baseline (약한 자극 0.05),0.35,0.05
7.983,14.0,-3.4571798186563,True,1G baseline (약한 자극 0.05),0.35,0.05
8.482,14.5,-3.8150142513402017,True,1G baseline (약한 자극 0.05),0.35,0.05
8.981,15.0,-4.084520451892217,True,1G baseline (약한 자극 0.05),0.35,0.05
9.48,15.5,-4.206388273667557,True,1G baseline (약한 자극 0.05),0.35,0.05
9.979,16.0,-4.132256653804788,True,1G baseline (약한 자극 0.05),0.35,0.05
10.478,16.5,-3.8055659964308433,True,1G baseline (약한 자극 0.05),0.35,0.05
10.977,17.0,-3.211939258861804,True,1G baseline (약한 자극 0.05),0.35,0.05
11.476,17.5,-2.38694272911178,True,1G baseline (약한 자극 0.05),0.35,0.05
11.975,18.0,-1.4181627362035272,True,1G baseline (약한 자극 0.05),0.35,0.05
12.473,18.5,-0.4281273825280607,True,1G baseline (약한 자극 0.05),0.35,0.05
12.972,19.0,0.45742615272291687,True,1G baseline (약한 자극 0.05),0.35,0.05
13.471,19.5,1.1440369738079426,True,1G baseline (약한 자극 0.05),0.35,0.05
13.97,20.0,1.5904197733290175,True,1G baseline (약한 자극 0.05),0.35,0.05
14.469,20.5,1.8125430942884861,True,1G baseline (약한 자극 0.05),0.35,0.05
14.968,21.0,1.8669523203372407,True,1G baseline (약한 자극 0.05),0.35,0.05
15.467,21.5,1.8215534905344128,True,1G baseline (약한 자극 0.05),0.35,0.05
15.966,22.0,1.730062921382455,True,1G baseline (약한 자극 0.05),0.35,0.05
16.465,22.5,1.6233353623933908,True,1G baseline (약한 자극 0.05),0.35,0.05
16.964,23.0,1.5160115360514723,True,1G baseline (약한 자극 0.05),0.35,0.05
17.463,23.5,1.4136726173199463,True,1G baseline (약한 자극 0.05),0.35,0.05
17.962,0.0,1.3183127164561057,True,1G baseline (약한 자극 0.05),0.35,0.05
18.461,0.5,1.2298530096374236,True,1G baseline (약한 자극 0.05),0.35,0.05
18.96,1.0,1.1510726174153376,True,1G baseline (약한 자극 0.05),0.35,0.05
19.459,1.5,1.0743439044616991,True,1G baseline (약한 자극 0.05),0.35,0.05
19.958,2.0,1.0018372637964603,True,1G baseline (약한 자극 0.05),0.35,0.05
20.456,2.5,0.9325260828435376,True,1G baseline (약한 자극 0.05),0.35,0.05
20.955,3.0,0.8649857486598194,True,1G baseline (약한 자극 0.05),0.35,0.05
21.454,3.5,0.798067171759925,True,1G baseline (약한 자극 0.05),0.35,0.05
21.953,4.0,0.7305899441987265,True,1G baseline (약한 자극 0.05),0.35,0.05
22.452,4.5,0.6612030773609945,True,1G baseline (약한 자극 0.05),0.35,0.05
22.951,5.0,0.588395954789604,True,1G baseline (약한 자극 0.05),0.35,0.05
23.45,5.5,0.5110567756928504,True,1G baseline (약한 자극 0.05),0.35,0.05
0.0,6.0,1.0301119763404074,True,1G baseline (중간 자극 0.10),0.35,0.1
0.499,6.5,0.8720126764475822,True,1G baseline (중간 자극 0.10),0.35,0.1
0.998,7.0,0.6896295479870957,True,1G baseline (중간 자극 0.10),0.35,0.1
1.497,7.5,0.4851221222802451,True,1G baseline (중간 자극 0.10),0.35,0.1
1.996,8.0,0.253440319150684,True,1G baseline (중간 자극 0.10),0.35,0.1
2.495,8.5,-0.010878372713960971,True,1G baseline (중간 자극 0.10),0.35,0.1
2.994,9.0,-0.31412738272922525,True,1G baseline (중간 자극 0.10),0.35,0.1
3.493,9.5,-0.6634288828447552,True,1G baseline (중간 자극 0.10),0.35,0.1
3.992,10.0,-1.066942729111787,True,1G baseline (중간 자극 0.10),0.35,0.1
4.49,10.5,-1.5335204518866306,True,1G baseline (중간 자극 0.10),0.35,0.1
4.989,11.0,-2.072483818326191,True,1G baseline (중간 자극 0.10),0.35,0.1
5.488,11.5,-2.6936433442495797,True,1G baseline (중간 자극 0.10),0.35,0.1
5.987,12.0,-3.4054481747374155,True,1G baseline (중간 자극 0.10),0.35,0.1
6.486,12.5,-4.212883323263384,True,1G baseline (중간 자극 0.10),0.35,0.1
6.985,13.0,-5.1130777876824425,True,1G baseline (중간 자극 0.10),0.35,0.1
7.484,13.5,-6.08667355813084,True,1G baseline (중간 자극 0.10),0.35,0.1
7.983,14.0,-7.085194214414855,True,1G baseline (중간 자극 0.10),0.35,0.1
8.482,14.5,-8.012910000924016,True,1G baseline (중간 자극 0.10),0.35,0.1
8.981,15.0,-8.715471442062437,True,1G baseline (중간 자극 0.10),0.35,0.1
9.48,15.5,-8.994497704561837,True,1G baseline (중간 자극 0.10),0.35,0.1
9.979,16.0,-8.705394709445542,True,1G baseline (중간 자극 0.10),0.35,0.1
10.478,16.5,-7.765316491629932,True,1G baseline (중간 자극 0.10),0.35,0.1
10.977,17.0,-6.265442234277771,True,1G baseline (중간 자극 0.10),0.35,0.1
11.476,17.5,-4.403456590529558,True,1G baseline (중간 자극 0.10),0.35,0.1
11.975,18.0,-2.4100649563968233,True,1G baseline (중간 자극 0.10),0.35,0.1
12.473,18.5,-0.5013655015733036,True,1G baseline (중간 자극 0.10),0.35,0.1
12.972,19.0,1.1432681618071854,True,1G baseline (중간 자극 0.10),0.35,0.1
13.471,19.5,2.399177087619904,True,1G baseline (중간 자극 0.10),0.35,0.1
13.97,20.0,3.214527072682955,True,1G baseline (중간 자극 0.10),0.35,0.1
14.469,20.5,3.621875382419603,True,1G baseline (중간 자극 0.10),0.35,0.1
14.968,21.0,3.7211112312599965,True,1G baseline (중간 자극 0.10),0.35,0.1
15.467,21.5,3.634605290554461,True,1G baseline (중간 자극 0.10),0.35,0.1
15.966,22.0,3.461125092431871,True,1G baseline (중간 자극 0.10),0.35,0.1
16.465,22.5,3.258737463753178,True,1G baseline (중간 자극 0.10),0.35,0.1
16.964,23.0,3.054957270827117,True,1G baseline (중간 자극 0.10),0.35,0.1
17.463,23.5,2.860708260927339,True,1G baseline (중간 자극 0.10),0.35,0.1
17.962,0.0,2.6796895850076936,True,1G baseline (중간 자극 0.10),0.35,0.1
18.461,0.5,2.512250340133889,True,1G baseline (중간 자극 0.10),0.35,0.1
18.96,1.0,2.3632224813848666,True,1G baseline (중간 자극 0.10),0.35,0.1
19.459,1.5,2.2185062806867393,True,1G baseline (중간 자극 0.10),0.35,0.1
19.958,2.0,2.082499350029991,True,1G baseline (중간 자극 0.10),0.35,0.1
20.456,2.5,1.9530572708882232,True,1G baseline (중간 자극 0.10),0.35,0.1
20.955,3.0,1.8277676617796317,True,1G baseline (중간 자극 0.10),0.35,0.1
21.454,3.5,1.704512011241178,True,1G baseline (중간 자극 0.10),0.35,0.1
21.953,4.0,1.5808530095778224,True,1G baseline (중간 자극 0.10),0.35,0.1
