ID_REF,A,phi,r2,symbol,peak_CT_h
10553092,1.3119,2.5481,0.898,Dbp,9.7328
10518781,1.2917,2.9644,0.8706,Per3,11.3233
10556463,1.2841,5.9272,0.8603,Arntl,22.6401
10390691,1.2753,1.8579,0.8486,Nr1d1,7.0968
10356601,1.2605,3.4147,0.829,Per2,13.0434
10417734,1.2467,2.6155,0.8109,Nr1d2,9.9905
10373452,1.2201,2.576,0.7767,Ciart,9.8394
10556487,1.2061,5.6295,0.759,,21.5031
10425601,1.2016,2.9167,0.7532,Tef,11.1409
10345675,1.1838,6.1357,0.7311,Npas2,23.4365
10500272,1.1816,2.5769,0.7285,Ciart,9.8431
10584634,1.1793,3.1226,0.7256,Usp2,11.9273
10389786,1.169,3.1467,0.713,Hlf,12.0194
10530733,1.152,6.0423,0.6924,Clock,23.0798
10466304,1.1512,6.0838,0.6914,Dtx4,23.2382
10427095,1.1498,2.2809,0.6898,Tns2,8.7124
10558961,1.1465,2.9606,0.6859,Tspan4,11.3086
10599192,1.127,4.8373,0.6627,Lonrf3,18.4771
10359582,1.1257,3.8406,0.6612,Fmo2,14.6699
10377439,1.1124,2.7044,0.6456,Per1,10.33
10606989,1.1026,3.7796,0.6342,Tsc22d3,14.4371
10526363,1.0942,2.8185,0.6247,Por,10.7659
10549276,1.0909,2.4907,0.6209,Bhlhe41,9.5138
10371400,1.0797,4.5323,0.6083,Cry1,17.3121
10346298,1.0702,2.7823,0.5976,Coq10b,10.6275
10517312,1.0691,3.4498,0.5963,Tmem57,13.1772
10396476,1.0576,6.2781,0.5835,Rhoj,23.9805
10556266,1.0562,3.6113,0.5821,Wee1,13.7943
10409278,1.0538,5.552,0.5794,Nfil3,21.2071
10370013,1.0355,2.2072,0.5594,Gstt2,8.4311
10587211,1.0224,5.9064,0.5453,Leo1,22.5607
10553324,1.0086,1.9934,0.5307,Tmem86a,7.6141
10487040,1.0069,0.6555,0.529,Fbn1,2.5038
10426042,1.0055,6.2499,0.5275,Gramd4,23.8729
