tissue,sample,true_CT,pred_CT,abs_err_h
Adr,Adr_CT18,18.0,18.6,0.6
Adr,Adr_CT20,20.0,22.9,2.9
Adr,Adr_CT22,22.0,0.1,2.1
Adr,Adr_CT24,0.0,1.0,1.0
Adr,Adr_CT26,2.0,2.9,0.9
Adr,Adr_CT28,4.0,4.4,0.4
Adr,Adr_CT30,6.0,6.5,0.5
Adr,Adr_CT32,8.0,9.0,1.0
Adr,Adr_CT34,10.0,10.2,0.2
Adr,Adr_CT36,12.0,10.8,1.2
Adr,Adr_CT38,14.0,14.8,0.8
Adr,Adr_CT40,16.0,16.8,0.8
Adr,Adr_CT42,18.0,18.6,0.6
Adr,Adr_CT44,20.0,20.9,0.9
Adr,Adr_CT46,22.0,22.9,0.9
Adr,Adr_CT48,0.0,22.8,1.2
Adr,Adr_CT50,2.0,22.9,3.1
Adr,Adr_CT52,4.0,6.0,2.0
Adr,Adr_CT54,6.0,6.6,0.6
Adr,Adr_CT56,8.0,9.4,1.4
Adr,Adr_CT58,10.0,10.5,0.5
Adr,Adr_CT60,12.0,13.7,1.7
Adr,Adr_CT62,14.0,16.2,2.2
Adr,Adr_CT64,16.0,18.1,2.1
Aor,Aor_CT18,18.0,18.0,0.0
Aor,Aor_CT20,20.0,20.0,0.0
Aor,Aor_CT22,22.0,22.9,0.9
Aor,Aor_CT24,0.0,23.2,0.8
Aor,Aor_CT26,2.0,0.9,1.1
Aor,Aor_CT28,4.0,3.6,0.4
Aor,Aor_CT30,6.0,5.3,0.7
Aor,Aor_CT32,8.0,8.4,0.4
Aor,Aor_CT34,10.0,10.6,0.6
Aor,Aor_CT36,12.0,11.4,0.6
Aor,Aor_CT38,14.0,14.3,0.3
Aor,Aor_CT40,16.0,16.6,0.6
Aor,Aor_CT42,18.0,18.2,0.2
Aor,Aor_CT44,20.0,21.4,1.4
Aor,Aor_CT46,22.0,23.5,1.5
Aor,Aor_CT48,0.0,22.3,1.7
Aor,Aor_CT50,2.0,1.4,0.6
Aor,Aor_CT52,4.0,5.0,1.0
Aor,Aor_CT54,6.0,6.5,0.5
Aor,Aor_CT56,8.0,8.8,0.8
Aor,Aor_CT58,10.0,10.6,0.6
Aor,Aor_CT60,12.0,12.4,0.4
Aor,Aor_CT62,14.0,15.4,1.4
Aor,Aor_CT64,16.0,17.2,1.2
BFat,BFat_CT18,18.0,17.9,0.1
BFat,BFat_CT20,20.0,19.8,0.2
BFat,BFat_CT22,22.0,22.4,0.4
BFat,BFat_CT24,0.0,22.7,1.3
BFat,BFat_CT26,2.0,1.2,0.8
BFat,BFat_CT28,4.0,3.3,0.7
BFat,BFat_CT30,6.0,4.8,1.2
BFat,BFat_CT32,8.0,7.0,1.0
BFat,BFat_CT34,10.0,9.9,0.1
BFat,BFat_CT36,12.0,10.5,1.5
BFat,BFat_CT38,14.0,13.7,0.3
BFat,BFat_CT40,16.0,15.7,0.3
BFat,BFat_CT42,18.0,17.9,0.1
BFat,BFat_CT44,20.0,20.8,0.8
BFat,BFat_CT46,22.0,22.4,0.4
BFat,BFat_CT48,0.0,21.9,2.1
BFat,BFat_CT50,2.0,23.5,2.5
BFat,BFat_CT52,4.0,4.9,0.9
BFat,BFat_CT54,6.0,6.4,0.4
BFat,BFat_CT56,8.0,8.5,0.5
BFat,BFat_CT58,10.0,9.3,0.7
BFat,BFat_CT60,12.0,11.9,0.1
BFat,BFat_CT62,14.0,14.3,0.3
BFat,BFat_CT64,16.0,16.0,0.0
Bstm,Bstm_CT18,18.0,17.0,1.0
Bstm,Bstm_CT20,20.0,21.7,1.7
Bstm,Bstm_CT22,22.0,21.4,0.6
Bstm,Bstm_CT24,0.0,22.7,1.3
Bstm,Bstm_CT26,2.0,1.4,0.6
Bstm,Bstm_CT28,4.0,3.0,1.0
Bstm,Bstm_CT30,6.0,4.6,1.4
Bstm,Bstm_CT32,8.0,7.5,0.5
Bstm,Bstm_CT34,10.0,8.6,1.4
Bstm,Bstm_CT36,12.0,10.4,1.6
Bstm,Bstm_CT38,14.0,14.2,0.2
Bstm,Bstm_CT40,16.0,16.3,0.3
Bstm,Bstm_CT42,18.0,18.3,0.3
Bstm,Bstm_CT44,20.0,20.6,0.6
Bstm,Bstm_CT46,22.0,21.8,0.2
Bstm,Bstm_CT48,0.0,20.7,3.3
Bstm,Bstm_CT50,2.0,23.8,2.2
Bstm,Bstm_CT52,4.0,4.5,0.5
Bstm,Bstm_CT54,6.0,6.7,0.7
Bstm,Bstm_CT56,8.0,8.1,0.1
Bstm,Bstm_CT58,10.0,10.3,0.3
Bstm,Bstm_CT60,12.0,12.2,0.2
Bstm,Bstm_CT62,14.0,14.4,0.4
Bstm,Bstm_CT64,16.0,17.6,1.6
Cer,Cer_CT18,18.0,16.7,1.3
Cer,Cer_CT20,20.0,20.4,0.4
Cer,Cer_CT22,22.0,22.4,0.4
Cer,Cer_CT24,0.0,22.2,1.8
Cer,Cer_CT26,2.0,1.7,0.3
Cer,Cer_CT28,4.0,2.6,1.4
Cer,Cer_CT30,6.0,3.2,2.8
Cer,Cer_CT32,8.0,7.0,1.0
Cer,Cer_CT34,10.0,9.8,0.2
Cer,Cer_CT36,12.0,10.5,1.5
Cer,Cer_CT38,14.0,14.1,0.1
Cer,Cer_CT40,16.0,12.2,3.8
Cer,Cer_CT42,18.0,17.7,0.3
Cer,Cer_CT44,20.0,19.4,0.6
Cer,Cer_CT46,22.0,20.5,1.5
Cer,Cer_CT48,0.0,20.6,3.4
Cer,Cer_CT50,2.0,22.4,3.6
Cer,Cer_CT52,4.0,4.1,0.1
Cer,Cer_CT54,6.0,5.5,0.5
Cer,Cer_CT56,8.0,8.0,0.0
Cer,Cer_CT58,10.0,8.9,1.1
Cer,Cer_CT60,12.0,12.0,0.0
Cer,Cer_CT62,14.0,13.9,0.1
Cer,Cer_CT64,16.0,16.0,0.0
Hrt,Hrt_CT18,18.0,17.2,0.8
Hrt,Hrt_CT20,20.0,20.4,0.4
Hrt,Hrt_CT22,22.0,23.4,1.4
Hrt,Hrt_CT24,0.0,22.8,1.2
Hrt,Hrt_CT26,2.0,2.0,0.0
Hrt,Hrt_CT28,4.0,3.0,1.0
Hrt,Hrt_CT30,6.0,5.8,0.2
Hrt,Hrt_CT32,8.0,7.9,0.1
Hrt,Hrt_CT34,10.0,10.3,0.3
Hrt,Hrt_CT36,12.0,11.6,0.4
Hrt,Hrt_CT38,14.0,14.3,0.3
Hrt,Hrt_CT40,16.0,15.7,0.3
Hrt,Hrt_CT42,18.0,17.6,0.4
