tissue,module,n_genes,mean_abs_rho,random_set_mean,percentile_vs_random,p_two_sided
Retina,oxidative_stress,19,0.147,0.179,0.147,0.2944
Retina,inflammation,16,0.174,0.187,0.362,0.724
Retina,apoptosis,10,0.246,0.186,0.905,0.1904
Retina,lipid_metabolism,10,0.228,0.178,0.888,0.2232
Retina,circadian_clock,17,0.151,0.168,0.3,0.6
Optic nerve,oxidative_stress,19,0.174,0.185,0.36,0.7204
Optic nerve,inflammation,20,0.24,0.18,0.971,0.0584
Optic nerve,apoptosis,10,0.226,0.184,0.839,0.3216
Optic nerve,lipid_metabolism,10,0.167,0.191,0.277,0.5532
Optic nerve,circadian_clock,17,0.232,0.186,0.916,0.168
