sample,score,gravity_g,tissue
MHU-8_RTN_FLT_FLT02,0.95356893982581,0.33,Retina
MHU-8_RTN_FLT_FLT03,0.6972712083286288,0.66,Retina
MHU-8_RTN_FLT_FLT04,-0.36095750399930565,1.0,Retina
MHU-8_RTN_FLT_FLT05,1.450300736539618,0.0,Retina
MHU-8_RTN_FLT_FLT06,1.5474610092787482,0.33,Retina
MHU-8_RTN_FLT_FLT07,0.8023321777636457,0.66,Retina
MHU-8_RTN_FLT_FLT08,-0.520806800801531,1.0,Retina
MHU-8_RTN_FLT_FLT09,0.3007574723282472,0.0,Retina
MHU-8_RTN_FLT_FLT10,1.7925221766602581,0.33,Retina
MHU-8_RTN_FLT_FLT11,1.1031961726803539,0.66,Retina
MHU-8_RTN_FLT_FLT12,-0.7951812801048954,1.0,Retina
MHU-8_RTN_FLT_FLT13,0.8577609383060504,0.0,Retina
MHU-8_RTN_FLT_FLT14,0.3097883766586888,0.33,Retina
MHU-8_RTN_FLT_FLT15,0.38099725788622807,0.66,Retina
MHU-8_RTN_FLT_FLT16,-0.9526551830648445,1.0,Retina
MHU-8_RTN_FLT_FLT17,0.17590618643423397,0.0,Retina
MHU-8_RTN_FLT_FLT18,0.7275852416222846,0.33,Retina
MHU-8_RTN_FLT_FLT19,-0.07302306530640314,0.66,Retina
MHU-8_RTN_FLT_FLT20,-0.20238549515078025,1.0,Retina
MHU-8_RTN_FLT_FLT21,-0.5282060388202723,0.0,Retina
MHU-8_RTN_FLT_FLT22,0.8809018935368614,0.33,Retina
MHU-8_RTN_FLT_FLT23,-0.20951277536038435,0.66,Retina
MHU-8_RTN_FLT_FLT24,0.20838543509502297,1.0,Retina
MHU-8_ON_FLT_FLT02,1.5975366555375017,0.33,Optic nerve
MHU-8_ON_FLT_FLT03,1.0544063554897796,0.66,Optic nerve
MHU-8_ON_FLT_FLT04,-0.3250040727140987,1.0,Optic nerve
MHU-8_ON_FLT_FLT05,1.4998911401062964,0.0,Optic nerve
MHU-8_ON_FLT_FLT06,0.7898565047539974,0.33,Optic nerve
MHU-8_ON_FLT_FLT07,1.0517904853101174,0.66,Optic nerve
MHU-8_ON_FLT_FLT08,-0.0490652379849989,1.0,Optic nerve
MHU-8_ON_FLT_FLT09,0.0016941768515002509,0.0,Optic nerve
MHU-8_ON_FLT_FLT10,1.5831741367643912,0.33,Optic nerve
MHU-8_ON_FLT_FLT11,1.229676043033224,0.66,Optic nerve
MHU-8_ON_FLT_FLT12,-0.28861771542894143,1.0,Optic nerve
MHU-8_ON_FLT_FLT13,0.7453995891213507,0.0,Optic nerve
MHU-8_ON_FLT_FLT14,0.5542431889845547,0.33,Optic nerve
MHU-8_ON_FLT_FLT15,0.437223173689667,0.66,Optic nerve
MHU-8_ON_FLT_FLT16,-1.208794028932831,1.0,Optic nerve
MHU-8_ON_FLT_FLT17,0.2605068999636095,0.0,Optic nerve
MHU-8_ON_FLT_FLT18,0.750653023338104,0.33,Optic nerve
MHU-8_ON_FLT_FLT19,-0.11685752101766729,0.66,Optic nerve
MHU-8_ON_FLT_FLT20,-0.9772526503343268,1.0,Optic nerve
MHU-8_ON_FLT_FLT21,-0.715462965394331,0.0,Optic nerve
MHU-8_ON_FLT_FLT22,0.7521026528869552,0.33,Optic nerve
MHU-8_ON_FLT_FLT23,0.13960040242671276,0.66,Optic nerve
MHU-8_ON_FLT_FLT24,-0.8280080049015903,1.0,Optic nerve
