tissue_sd,sd,effect,dphi_h,n_timepoints,n_per_timepoint,total_mice,power
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,3,3,18,0.29025
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,3,4,24,0.39175
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,3,5,30,0.47575
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,3,6,36,0.5645
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,3,8,48,0.71
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,3,10,60,0.79075
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,4,3,24,0.4035
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,4,4,32,0.50825
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,4,5,40,0.61625
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,4,6,48,0.7075
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,4,8,64,0.821
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,4,10,80,0.90325
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,6,3,36,0.55925
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,6,4,48,0.706
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,6,5,60,0.79975
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,6,6,72,0.86875
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,6,8,96,0.94525
망막 (OSD-758),0.343,CT21 인가 (전진),1.87,6,10,120,0.978
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,3,3,18,0.83675
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,3,4,24,0.94375
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,3,5,30,0.97775
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,3,6,36,0.9955
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,3,8,48,0.99975
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,3,10,60,1.0
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,4,3,24,0.9485
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,4,4,32,0.98525
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,4,5,40,0.99675
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,4,6,48,0.99925
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,4,8,64,1.0
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,4,10,80,1.0
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,6,3,36,0.997
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,6,4,48,0.999
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,6,5,60,0.99975
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,6,6,72,1.0
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,6,8,96,1.0
망막 (OSD-758),0.343,CT16 인가 (지연),4.13,6,10,120,1.0
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,3,3,18,0.14475
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,3,4,24,0.199
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,3,5,30,0.236
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,3,6,36,0.29325
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,3,8,48,0.38325
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,3,10,60,0.46525
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,4,3,24,0.2065
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,4,4,32,0.2475
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,4,5,40,0.32625
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,4,6,48,0.392
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,4,8,64,0.50375
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,4,10,80,0.596
가자미근 (OSD-714),0.504,CT21 인가 (전진),1.87,6,3,36,0.28825
