SYMBOL,log2fc,fdr,tissue,OSD_ID
Hlf,0.548313702332969,0.815864974230609,dorsal skin,OSD-243
Cry1,0.266033786028481,0.815864974230609,dorsal skin,OSD-243
Nr1d1,-0.154761796829326,0.920664630334612,dorsal skin,OSD-243
Per1,-0.259901899308512,0.875434744679853,dorsal skin,OSD-243
Nr1d2,0.215430140572464,0.854446233855892,dorsal skin,OSD-243
Tef,0.230502095215382,0.817828167599495,dorsal skin,OSD-243
Npas2,0.636114707658697,0.815864974230609,dorsal skin,OSD-243
Per3,0.213176509365021,0.817828167599495,dorsal skin,OSD-243
Clock,0.012152906558954,0.989645433430844,dorsal skin,OSD-243
Bhlhe40,-0.291406930698388,0.815864974230609,dorsal skin,OSD-243
Bhlhe41,-0.0319286699233891,0.982700896156534,dorsal skin,OSD-243
Ciart,-0.0711391892994126,0.953138901545485,dorsal skin,OSD-243
Bmal1,0.0958356832260626,0.877903353828301,dorsal skin,OSD-243
Per2,0.285505994601799,0.826280576103821,dorsal skin,OSD-243
Dbp,-0.0868367837814084,0.950515501442083,dorsal skin,OSD-243
Cry2,0.298384526570435,0.815864974230609,dorsal skin,OSD-243
Hlf,1.02815640119994,0.261261176394912,thymus,OSD-244
Cry1,-0.658283200438679,0.0454747601883296,thymus,OSD-244
Nr1d1,1.72685165588746,0.0211317538728609,thymus,OSD-244
Per1,1.36894661303487,0.0569075846942328,thymus,OSD-244
Nr1d2,-0.213484325706494,0.65724458701506,thymus,OSD-244
Tef,0.887588689428028,0.0607066497594098,thymus,OSD-244
Npas2,-0.148937246670007,0.765431682132566,thymus,OSD-244
Per3,0.955022732206943,0.0611569657985231,thymus,OSD-244
Clock,-0.176966806367802,0.605572693312896,thymus,OSD-244
Bhlhe40,1.16150173036132,0.146861481238124,thymus,OSD-244
Bhlhe41,-0.371719851405862,0.407128972916905,thymus,OSD-244
Ciart,1.02851457586349,0.154632331252155,thymus,OSD-244
Bmal1,-1.06582089484066,0.0479056359864824,thymus,OSD-244
Per2,1.40884791923221,0.0564014184203584,thymus,OSD-244
Dbp,1.12500016840612,0.0485686522318901,thymus,OSD-244
Cry2,0.579532517232166,0.0726152063482915,thymus,OSD-244
Hlf,0.274650462627003,0.803753813961312,liver,OSD-245
Cry1,0.860146713755133,0.173683859220672,liver,OSD-245
Nr1d1,-0.904227555906753,0.702029236711742,liver,OSD-245
Per1,0.100582789145705,0.997739384605807,liver,OSD-245
Nr1d2,-0.486784066664984,0.845810966344425,liver,OSD-245
Tef,-0.209148383759975,0.900315804281601,liver,OSD-245
Npas2,-0.269900814195728,0.97727128881635,liver,OSD-245
Per3,-0.336269856721342,0.889208927819445,liver,OSD-245
Clock,0.713692610833544,0.144832362390868,liver,OSD-245
