OSD_ID,tissue,paradigm,n_samples,groups,platform,expr_downloaded,expr_files,isa_downloaded,time_of_day_recorded,time_cols,errors
OSD-21,gastrocnemius,ANCHOR,23,Normally Loaded Control | 12 days | calf muscle | Not Applicable=5; Hindlimb Unloaded and Reloaded | 12 days plus reloading for 3.5hr | calf muscle | Not Applicable=5; Hindlimb Unloaded | 12 days | calf muscle | Not Appl,microarray,True,GLDS-21_array_normalized_expression_probeset_GLmicroarray.csv,True,False,,
OSD-237,dorsal skin,HLU,21,Normally Loaded Control | non-irradiated=6; Normally Loaded Control | cobalt-57 gamma radiation=6; Hindlimb Unloaded | cobalt-57 gamma radiation=6; Hindlimb Unloaded | non-irradiated=3,RNA-seq,True,GLDS-237_rna_seq_Normalized_Counts_GLbulkRNAseq.csv; GLDS-237_rna_seq_differential_expression_GLbulkRNAseq.csv,True,False,,
OSD-238,dorsal skin,FLIGHT,24,Space Flight | uG | JAXA Chow with FOS=3; Space Flight | uG | JAXA Chow=3; Space Flight | 1G by centrifugation | JAXA Chow with FOS=3; Space Flight | 1G by centrifugation | JAXA Chow=3; Vivarium Control | 1G on Earth | J,RNA-seq,True,GLDS-238_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,True,False,,용량초과 건너뜀: GLDS-238_rna_seq_differential_expression_GLbulkRNAseq.csv (134MB)
OSD-240,dorsal skin,FLIGHT,20,Ground Control=10; Space Flight=10,RNA-seq,True,GLDS-240_rna_seq_differential_expression_GLbulkRNAseq.csv; GLDS-240_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,True,False,,
OSD-243,dorsal skin,FLIGHT,53,Basal Control | 1 | On Earth | Upon euthanasia=10; Ground Control | ~60 | On Earth | Carcass=10; Ground Control | ~30 | On Earth | Upon euthanasia=9; Space Flight | ~30 | On Earth | Upon euthanasia=9; Space Flight | ~60 ,RNA-seq,True,GLDS-243_rna_seq_differential_expression_GLbulkRNAseq.csv; GLDS-243_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,True,False,,
OSD-254,dorsal skin,FLIGHT,80,C57BL/6J | Basal Control | 0=10; C3H/HeJ | Basal Control | 0=10; C57BL/6J | Space Flight | ~75=5; C57BL/6J | Ground Control | ~25=5; C57BL/6J | Ground Control | ~75=5; C57BL/6J | Space Flight | ~25=5; C57BL/6J | Vivarium,RNA-seq,True,GLDS-254_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,True,False,,용량초과 건너뜀: GLDS-254_rna_seq_differential_expression_GLbulkRNAseq.csv (446MB)
OSD-203,retina,HLU,59,7 | non-irradiated | Normally Loaded Control=6; 7 | cobalt-57 gamma radiation | Hindlimb Unloaded=6; 7 | cobalt-57 gamma radiation | Normally Loaded Control=5; 1 | non-irradiated | Normally Loaded Control=5; 4 | cobalt-5,RNA-seq,True,GLDS-203_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,True,False,,용량초과 건너뜀: GLDS-203_rna_seq_differential_expression_GLbulkRNAseq.csv (298MB)
OSD-87,retina,FLIGHT,6,Ground Control=3; Space Flight=3,microarray,True,GLDS-87_array_normalized_expression_probeset_GLmicroarray.csv; GLDS-87_array_differential_expression_GLmicroarray.csv,True,False,,
OSD-194,retina,FLIGHT,13,Space Flight=5; Basal Control=4; Ground Control=4,RNA-seq,True,GLDS-194_rna_seq_Normalized_Counts_GLbulkRNAseq.csv; GLDS-194_rna_seq_differential_expression_GLbulkRNAseq.csv,True,False,,
OSD-255,retina,FLIGHT,16,Ground Control=8; Space Flight=8,RNA-seq,True,GLDS-255_rna_seq_Normalized_Counts_GLbulkRNAseq.csv; GLDS-255_rna_seq_differential_expression_GLbulkRNAseq.csv,True,False,,
