SYMBOL,log2fc,fdr,tissue,OSD_ID,label,paradigm,tissue_lab
Hlf,-0.137319465462547,0.736925178965114,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Cry1,0.103775855142492,0.825392747787637,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Nr1d1,0.119925918987051,0.670559473101281,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Per1,0.992984902325269,2.48704380676703e-07,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Nr1d2,0.0428442104121838,0.865234960807512,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Tef,-0.0209108445540411,0.911406645250633,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Npas2,-0.598455155538092,,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Per3,0.466010558603042,0.0015594525225336,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Clock,0.327658726252148,0.215658345789555,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Bhlhe40,0.515964666502893,0.0001239007967116,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Bhlhe41,-0.581671958445322,0.0001545744176498,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Ciart,0.800262648092851,0.013569758877941,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Bmal1,0.0670132788621086,0.936803437583687,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Per2,0.212204203206351,0.50405054380674,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Dbp,0.0140297094414381,0.974464598836466,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Cry2,0.302580370470943,0.096865194260026,gastrocnemius,OSD-876,OSD-876,HLU,gastrocnemius (OSD-876)
Hlf,0.162429346517311,0.887531535593232,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Cry1,0.0315612266787854,0.961832956493461,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Nr1d1,0.116092731933351,0.911666539444836,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Per1,0.571743364069928,0.295199934941311,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Nr1d2,0.0999026824107737,0.789655799514195,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Tef,0.153395315557946,0.694066222463316,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Npas2,-0.75577931080744,0.727034050504495,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Per3,0.391706726042594,0.598887974042615,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Clock,0.194121667182577,0.698612664694977,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Bhlhe40,0.539453988787875,0.0309502683300596,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Bhlhe41,0.0700578914030254,0.864114762550987,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Ciart,0.889047352048792,0.0930748369951281,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Bmal1,-0.473466935462691,0.738641213676627,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Per2,0.345385425350921,0.806775611858483,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Dbp,0.143805689248593,0.845408329066074,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Cry2,0.324959137199743,0.425824455878033,gastrocnemius,OSD-880,OSD-880,HLU,gastrocnemius (OSD-880)
Hlf,0.208478621535594,0.147451115564344,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Cry1,0.653841933543986,6.72047939691167e-07,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Nr1d1,-0.130765539205228,0.565127201247366,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Per1,0.241435884521117,0.479704294560936,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Nr1d2,0.0940153614785332,0.337715525093097,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Tef,0.445191906936315,6.32868687525676e-06,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Npas2,0.393758693266502,0.067436722837702,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Per3,0.171356289809816,0.368900639253846,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Clock,0.269433563824921,0.0050358827970782,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Bhlhe40,-0.117705895852801,0.554563914132381,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Bhlhe41,0.105872070686079,0.625717699063066,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Ciart,-0.920267212073048,0.0057380755837437,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Bmal1,0.790356049210361,1.50187553471168e-05,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Per2,0.171031968951546,0.606610316575831,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Dbp,-1.23235053781822,0.0042382267761687,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Cry2,0.0355423534021048,0.834590723467831,soleus,OSD-935,OSD-935,HLU,soleus (OSD-935)
Hlf,0.530058554799569,0.68957162207991,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Cry1,-0.0043123665332439,0.99739069299698,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Nr1d1,0.178530077183948,0.909203331136735,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Per1,0.99571896553584,0.226656776898086,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Nr1d2,0.262083002454702,0.738758237555318,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Tef,0.510804792455472,0.300453642681682,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Npas2,-0.57489869012931,0.822990739540065,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Per3,0.705402764233931,0.393759160277616,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Clock,0.0515361438498806,0.976802967459594,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Bhlhe40,0.459099761205679,0.810707470679555,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Bhlhe41,-0.131502695117708,0.954696867333122,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Ciart,0.926511347735638,0.672613091098973,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Bmal1,-0.141852478189784,0.958313068918792,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Per2,-0.0759946581289051,0.983616229406124,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Dbp,-0.0903139007011609,0.979655621848495,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Cry2,0.309634498396532,0.72685720618475,soleus,OSD-949,OSD-949,HLU,soleus (OSD-949)
Hlf,-1.02656476463174,0.0799903945132108,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Cry1,0.708994501628086,0.0864162218537495,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Nr1d1,-1.02224404423337,0.0739654982602303,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Per1,-0.475633984933144,0.208346951711071,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Nr1d2,-0.493234090857011,0.238777124222534,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Tef,-0.635762366172876,0.169580811262967,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Npas2,-0.459098515200889,,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Per3,-0.709866959676476,0.150692819199837,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Clock,-0.004751338639527,0.983908360335953,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Bhlhe40,-0.128627902055177,0.296497881720905,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Bhlhe41,-0.406253582031877,0.096789013990398,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Ciart,-0.0143874779466588,0.976534103391836,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Bmal1,0.012085605649352,0.971306942263794,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Per2,-0.511216427348827,0.243256805496316,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Dbp,-0.90502484855688,0.147939298129604,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Cry2,-0.580108377133114,0.0948886006965174,dorsal skin,OSD-237,OSD-237,HLU,dorsal skin (OSD-237)
Hlf,-0.130249236122485,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Cry1,-0.143845756814302,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Nr1d1,0.404134242009242,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Per1,0.202883993178724,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Nr1d2,0.149939851994255,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Tef,0.0236571679597651,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Npas2,-0.0349079004343279,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
