SYMBOL,log2fc,fdr,tissue,OSD_ID
Hlf,0.490787784762412,0.354643627247884,brain,OSD-202
Cry1,0.0626956484551488,0.888110783613103,brain,OSD-202
Nr1d1,0.308417384155616,0.454835017551329,brain,OSD-202
Per1,0.596795051426056,0.281772902590513,brain,OSD-202
Nr1d2,-0.269921668921229,0.336151266234215,brain,OSD-202
Tef,0.0950620874351029,0.813269000633414,brain,OSD-202
Npas2,0.494044048767374,0.422128348893583,brain,OSD-202
Per3,-0.119730157211114,0.792110733180696,brain,OSD-202
Clock,0.178961396959212,0.263273268544464,brain,OSD-202
Bhlhe40,0.749755567588346,0.174956831295614,brain,OSD-202
Bhlhe41,-0.167506820187816,0.760007213501982,brain,OSD-202
Ciart,0.611211927692204,0.290808916234044,brain,OSD-202
Bmal1,0.554649195561889,0.177382999897467,brain,OSD-202
Per2,0.292834243954441,0.628107963210091,brain,OSD-202
Dbp,-0.32560425740361,0.456540644433276,brain,OSD-202
Cry2,0.407319562045138,0.216889638209121,brain,OSD-202
Hlf,-0.190994376919254,0.562621522038317,retina,OSD-203
Cry1,-0.129695451954647,0.779068617388595,retina,OSD-203
Nr1d1,-0.179263212663884,0.44753423891826,retina,OSD-203
Per1,-0.522331639060545,0.107678983802689,retina,OSD-203
Nr1d2,0.0580419687034691,0.825154556856927,retina,OSD-203
Tef,-0.011966813667294,0.974783958491867,retina,OSD-203
Npas2,0.194448799466769,0.857285576551997,retina,OSD-203
Per3,0.0122512792331503,0.983340227619463,retina,OSD-203
Clock,0.0331247936358929,0.890151202140563,retina,OSD-203
Bhlhe40,-0.212775085945174,0.400518244344113,retina,OSD-203
Bhlhe41,-0.236112649449128,0.472728718430839,retina,OSD-203
Ciart,-0.511211726645596,0.357599543801095,retina,OSD-203
Bmal1,-0.058188841297705,0.835554163882379,retina,OSD-203
Per2,-0.27744098429018,0.420735428953195,retina,OSD-203
Dbp,-0.0382991349754055,0.926974175016808,retina,OSD-203
Cry2,-0.27555996482926,0.265254926997146,retina,OSD-203
Hlf,-0.169805204072384,0.984601686330008,spleen,OSD-211
Cry1,-0.290651524679602,0.756638373754501,spleen,OSD-211
Nr1d1,0.139318269294147,0.979967500560875,spleen,OSD-211
Per1,-0.0581608582029996,0.991619166397159,spleen,OSD-211
Nr1d2,0.0730333899901466,0.987507358267067,spleen,OSD-211
Tef,-0.165045815391389,0.960103033700365,spleen,OSD-211
Npas2,-0.15706921618034,0.991207655621554,spleen,OSD-211
Per3,-0.0896631426176106,0.990864289387158,spleen,OSD-211
Clock,-0.156567918673836,0.938724706809397,spleen,OSD-211
Bhlhe40,-0.245887712454184,0.89523521220959,spleen,OSD-211
Bhlhe41,-0.189093440376841,0.979097306173559,spleen,OSD-211
Ciart,-0.193633941138578,0.971891769440857,spleen,OSD-211
Bmal1,-0.11731724251072,0.955563628876968,spleen,OSD-211
Per2,-0.443955069288171,0.756816142206112,spleen,OSD-211
Dbp,0.0898056721348836,0.98957209451858,spleen,OSD-211
Cry2,-0.0809650045686573,0.98957209451858,spleen,OSD-211
Hlf,-1.02656476463174,0.0799903945132108,dorsal skin,OSD-237
Cry1,0.708994501628086,0.0864162218537495,dorsal skin,OSD-237
Nr1d1,-1.02224404423337,0.0739654982602303,dorsal skin,OSD-237
Per1,-0.475633984933144,0.208346951711071,dorsal skin,OSD-237
Nr1d2,-0.493234090857011,0.238777124222534,dorsal skin,OSD-237
Tef,-0.635762366172876,0.169580811262967,dorsal skin,OSD-237
Npas2,-0.459098515200889,,dorsal skin,OSD-237
Per3,-0.709866959676476,0.150692819199837,dorsal skin,OSD-237
Clock,-0.004751338639527,0.983908360335953,dorsal skin,OSD-237
Bhlhe40,-0.128627902055177,0.296497881720905,dorsal skin,OSD-237
Bhlhe41,-0.406253582031877,0.096789013990398,dorsal skin,OSD-237
Ciart,-0.0143874779466588,0.976534103391836,dorsal skin,OSD-237
Bmal1,0.012085605649352,0.971306942263794,dorsal skin,OSD-237
Per2,-0.511216427348827,0.243256805496316,dorsal skin,OSD-237
Dbp,-0.90502484855688,0.147939298129604,dorsal skin,OSD-237
Cry2,-0.580108377133114,0.0948886006965174,dorsal skin,OSD-237
