SYMBOL,log2fc,fdr,tissue,OSD_ID,contrast_col,flipped
Hlf,-0.403283447372987,0.653068995602329,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Cry1,-0.0734757047164071,0.996561853625345,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Nr1d1,-0.605106897461486,0.177021957858475,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Per1,0.252488643382234,0.918605200235759,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Nr1d2,-0.412400207112854,0.514312182947218,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Tef,-0.966672645075677,8.52478449007771e-05,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Npas2,1.68277618026375,0.043886370286375,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Per3,-0.826602267476805,0.372538366630506,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Clock,0.346120595238883,0.0137125310371222,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Bhlhe40,-0.345482708958568,0.243059170965359,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Bhlhe41,-0.636841684868242,0.548608007850803,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Ciart,-1.57768466593293,0.0001360445700706,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Bmal1,1.51605571742413,0.0178192109300582,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Per2,0.0205788304151943,0.998058438930203,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Dbp,-1.02824392927826,0.0890266681137015,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Cry2,-0.126646282302767,0.994879835193347,adrenal gland,OSD-98,Log2fc_(Ground Control)v(Space Flight),True
Hlf,-0.735345021525547,2.88746102461774e-05,EDL,OSD-99,Log2fc_(Ground Control)v(Space Flight),True
Cry1,0.605355968733659,0.0002991492532755,EDL,OSD-99,Log2fc_(Ground Control)v(Space Flight),True
Nr1d1,-0.397493402648236,0.0041661919704107,EDL,OSD-99,Log2fc_(Ground Control)v(Space Flight),True
Per1,-0.171472614412208,0.687419981331533,EDL,OSD-99,Log2fc_(Ground Control)v(Space Flight),True
