gene,sample,group,value_log2
Arntl,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,6.96070481660849
Arntl,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,6.84843277534953
Arntl,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,6.96754267922594
Arntl,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,7.15892354423974
Arntl,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,7.32325755131772
Arntl,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,6.76732977003967
Arntl,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,6.57922384620815
Arntl,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,6.89783295624515
Arntl,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,6.95492251157257
Arntl,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,6.213637403762
Arntl,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,6.62815576737199
Arntl,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,7.04648640431817
Arntl,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,6.55943635556454
Arntl,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,7.17759094105787
Arntl,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,6.33702101784596
Arntl,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,7.59236317217179
Arntl,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,7.40280172648123
Arntl,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,7.62143713693083
Arntl,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,7.56803859286802
Arntl,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,8.34993461359325
Arntl,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,7.92056366586498
Arntl,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,7.95379164914779
Arntl,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,7.79250772170956
Bhlhe40,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,10.0272858683875
Bhlhe40,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,9.86284713617972
Bhlhe40,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,10.1126328308902
Bhlhe40,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,9.80369525455203
Bhlhe40,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,9.63689602252914
Bhlhe40,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,9.27847573406622
Bhlhe40,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,9.33372470692547
Bhlhe40,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,9.46065570972704
Bhlhe40,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,9.1807226020082
Bhlhe40,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,9.85726797801355
Bhlhe40,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,7.8108892286739
Bhlhe40,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,9.90380116198325
Bhlhe40,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,9.99262659564495
Bhlhe40,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,9.87657363490323
Bhlhe40,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,9.93245743134217
Bhlhe40,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,10.0503891809302
Bhlhe40,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,10.1527527960792
Bhlhe40,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,9.67431201308587
Bhlhe40,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,9.7075412625332
Bhlhe40,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,9.81538773530129
Bhlhe40,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,10.2887272299993
Bhlhe40,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,10.5086573366429
Bhlhe40,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,10.5748045594889
Bhlhe41,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,5.37968914450131
Bhlhe41,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,5.76965277290734
Bhlhe41,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,5.61631469656718
Bhlhe41,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,5.78496661515398
Bhlhe41,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,5.78414718828522
Bhlhe41,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,5.67920259092026
Bhlhe41,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,5.93470303434995
Bhlhe41,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,5.65770032741221
Bhlhe41,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,5.75028540567784
Bhlhe41,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,5.66719508024767
Bhlhe41,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,7.29643095779253
Bhlhe41,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,5.5275345474848
Bhlhe41,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,5.84058431380811
Bhlhe41,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,5.92612644632277
Bhlhe41,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,5.91010359446045
Bhlhe41,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,5.29806590789644
Bhlhe41,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,5.13448906921828
Bhlhe41,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,5.07106869543051
Bhlhe41,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,5.6078853768406
Bhlhe41,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,5.10048020143219
Bhlhe41,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,5.12343846826587
Bhlhe41,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,5.6683938213113
Bhlhe41,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,5.08938438396068
Clock,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,6.649754893728545
Clock,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,6.467251545630255
Clock,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,6.385081075898415
Clock,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,6.57446498148207
Clock,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,6.635146139369676
Clock,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,6.44787643124941
Clock,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,6.44194408528117
Clock,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,6.48887873899393
Clock,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,6.5102121457913
Clock,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,6.3382171538306356
Clock,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,5.89272547781591
Clock,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,6.415929034391185
Clock,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,6.306786845291265
Clock,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,6.4538247767270445
Clock,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,6.367557318646215
Clock,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,7.101211443552504
Clock,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,6.854764712863445
Clock,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,6.735257439237495
Clock,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,7.114671147482905
Clock,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,7.10482848793663
Clock,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,6.973227782899375
Clock,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,7.298689541317771
Clock,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,7.0915791317756955
Cry1,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,4.13996230394066
Cry1,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,4.29516337617451
Cry1,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,3.89160517343841
Cry1,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,4.12144301646846
Cry1,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,3.86186837541048
Cry1,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,4.00547250098656
Cry1,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,4.1372865971228
Cry1,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,4.03337556744289
Cry1,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,3.98857480013909
Cry1,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,4.1372865971228
Cry1,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,4.32444188276324
Cry1,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,4.0105975181647
Cry1,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,3.72738106312768
Cry1,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,3.79239972765058
Cry1,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,4.10067914083278
Cry1,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,4.71328753122894
Cry1,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,4.37859218577821
Cry1,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,4.46003868477555
Cry1,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,4.31684379011741
Cry1,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,4.72651266287792
Cry1,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,4.17310985272427
Cry1,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,4.41978353910309
Cry1,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,4.28467548237055
Cry2,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,7.13164972367987
Cry2,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,7.06223442923532
Cry2,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,7.05878848210549
Cry2,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,7.10329382392715
Cry2,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,6.78991111622641
Cry2,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,7.16912454823811
Cry2,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,7.43464482007988
Cry2,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,7.07091961388626
Cry2,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,7.28841719049344
Cry2,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,7.60222285015332
Cry2,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,6.15270849481978
Cry2,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,7.51474524069077
Cry2,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,7.25151090030897
Cry2,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,7.08572095697173
Cry2,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,6.88724121892428
Cry2,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,7.52974571715517
Cry2,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,8.09990712667737
Cry2,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,7.3759529112082
Cry2,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,7.20325622513927
Cry2,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,7.94836455525384
Cry2,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,7.95687196268079
Cry2,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,8.2555516335014
Cry2,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,8.47473986760998
Dbp,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,7.477249147253405
Dbp,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,7.74685960392564
Dbp,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,8.26418272524905
Dbp,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,7.671386093018111
Dbp,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,6.698166341241535
Dbp,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,7.53224839757182
Dbp,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,8.338080049790186
Dbp,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,7.217546033086036
Dbp,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,7.18926315521255
Dbp,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,8.90377652129217
Dbp,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,6.585699994107165
Dbp,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,8.223919981311175
Dbp,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,8.412204960841134
Dbp,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,7.020615508233995
Dbp,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,7.98334947374142
Dbp,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,7.3615547918429804
Dbp,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,7.76760665534
Dbp,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,6.774866551115615
