axis,arm,tier,value,ci_lo,ci_hi,noise_floor,noise_multiple,unit,source,confound,note
활동량 리듬 진폭,지상 언로딩 설치류 (피하 코호트 A),PASS(원자료),-0.9180190762327729,-0.9664940349770766,-0.833499333123437,0.2401969294483497,3.8219434292567733,baseline 대비 비 - 1,Helissen helissen2020,없음 (동일 개체 자기대조),n=5
활동량 acrophase,지상 언로딩 설치류 (피하 코호트 A),PASS(원자료),3.241523523223434,-2.5140847769185015,7.842689250434392,0.5075359076714685,6.386786578500953,시간(+ 지연),Helissen helissen2020,HLU 중 지표 억제로 인한 마스킹,n=5
활동량 수준,지상 언로딩 설치류 (피하 코호트 A),PASS(원자료),-0.8002574871755405,-0.8556476555258261,-0.7301834582882017,0.02686290280055395,29.790432296804426,baseline 대비 비 - 1,Helissen helissen2020,없음 (동일 개체 자기대조),n=5
체온 리듬 진폭,지상 언로딩 설치류 (피하 코호트 A),PASS(원자료),-0.7850915945964735,-0.8315108852929478,-0.7428333268926929,0.2587617950995121,3.03403210777136,baseline 대비 비 - 1,Helissen helissen2020,없음 (동일 개체 자기대조),n=5
체온 acrophase,지상 언로딩 설치류 (피하 코호트 A),PASS(원자료),1.6879776622188465,-1.2546115649260294,4.044947387401967,0.303220115819526,5.566839316239547,시간(+ 지연),Helissen helissen2020,HLU 중 지표 억제로 인한 마스킹,n=5
체온 수준,지상 언로딩 설치류 (피하 코호트 A),PASS(원자료),-0.036276105010614554,-0.05708190184734676,-0.01466700272689705,0.0023877009178411256,15.192901564662513,baseline 대비 비 - 1,Helissen helissen2020,없음 (동일 개체 자기대조),n=5
활동량 리듬 진폭,지상 언로딩 설치류 (피하 코호트 B),PASS(원자료),-0.94827384764412,-0.970398841073885,-0.9181817834545395,0.2206654767708112,4.297336681392267,baseline 대비 비 - 1,Helissen helissen2021,없음 (동일 개체 자기대조),n=5
활동량 acrophase,지상 언로딩 설치류 (피하 코호트 B),PASS(원자료),2.7145810677571207,1.1499084253891994,4.090052720749428,0.2264417471755173,11.98798852957543,시간(+ 지연),Helissen helissen2021,HLU 중 지표 억제로 인한 마스킹,n=5
활동량 수준,지상 언로딩 설치류 (피하 코호트 B),PASS(원자료),-0.7932062523097564,-0.872790022186907,-0.6433403875143802,0.10968727938514211,7.231524537358537,baseline 대비 비 - 1,Helissen helissen2021,없음 (동일 개체 자기대조),n=5
체온 리듬 진폭,지상 언로딩 설치류 (피하 코호트 B),PASS(원자료),-0.6812784235845074,-0.7770440235347377,-0.5673110937042779,0.0749036659298962,9.095394933301785,baseline 대비 비 - 1,Helissen helissen2021,없음 (동일 개체 자기대조),n=5
체온 acrophase,지상 언로딩 설치류 (피하 코호트 B),PASS(원자료),0.271109159762274,-1.2269605654990563,1.7357339779015064,0.2316209136046643,1.1704865313889967,시간(+ 지연),Helissen helissen2021,HLU 중 지표 억제로 인한 마스킹,n=5
체온 수준,지상 언로딩 설치류 (피하 코호트 B),PASS(원자료),-0.027447520844582574,-0.043153238157867535,-0.014060425445962244,0.0012177506373749706,22.539524925849754,baseline 대비 비 - 1,Helissen helissen2021,없음 (동일 개체 자기대조),n=5
활동량 리듬 진폭,지상 언로딩 설치류 (심부 코호트),PASS(원자료),-0.5841227246748132,-0.7873575685148243,-0.3450098923004095,0.0764310485218805,7.642479541643236,baseline 대비 비 - 1,Helissen helissen2022,없음 (동일 개체 자기대조),n=6
활동량 acrophase,지상 언로딩 설치류 (심부 코호트),PASS(원자료),3.400358510631572,1.4354130579787505,5.35815131451698,5.405170346885987,0.6290936811252541,시간(+ 지연),Helissen helissen2022,HLU 중 지표 억제로 인한 마스킹,n=6
활동량 수준,지상 언로딩 설치류 (심부 코호트),PASS(원자료),-0.49418594230884483,-0.5946777359089105,-0.3763780665112966,0.0575387875697726,8.58874444842248,baseline 대비 비 - 1,Helissen helissen2022,없음 (동일 개체 자기대조),n=6
체온 리듬 진폭,지상 언로딩 설치류 (심부 코호트),PASS(원자료),-0.4124213538000319,-0.5986958802672881,-0.14084484802024763,0.0386276086269844,10.676854417333082,baseline 대비 비 - 1,Helissen helissen2022,없음 (동일 개체 자기대조),n=6
체온 acrophase,지상 언로딩 설치류 (심부 코호트),PASS(원자료),2.2453361560577463,1.4225139338075437,3.206040062010514,0.746131425052976,3.0093038312899436,시간(+ 지연),Helissen helissen2022,HLU 중 지표 억제로 인한 마스킹,n=6
체온 수준,지상 언로딩 설치류 (심부 코호트),PASS(원자료),-0.01111664504925732,-0.01603143623834526,-0.0047835438733953755,0.001444500046222528,7.69584264003878,baseline 대비 비 - 1,Helissen helissen2022,없음 (동일 개체 자기대조),n=6
체온 acrophase,지상 언로딩 인간 (BBR2),CONDITIONAL(원자료),0.63841852930749,0.2473662013787795,1.1284261588514284,,,시간(+ 지연),HDBR figshare 13633790,3주차 자체가 이미 침상안정 중 — 절대 기준 아님,"n=5, 3주차 대비 8주차"
체온 리듬 진폭,지상 언로딩 인간 (BBR2),CONDITIONAL(원자료),0.10428548261312884,-0.06178277658112989,0.2703537418073876,,,비 - 1,HDBR figshare 13633790,동일,n=5
체온 acrophase,지상 언로딩 인간 (Cocktail),CONDITIONAL(원자료),0.3217618230024466,0.033408081569910666,0.5596617373959726,,,시간(+ 지연),HDBR figshare 13633790,3주차 자체가 이미 침상안정 중 — 절대 기준 아님,"n=8, 3주차 대비 8주차"
체온 리듬 진폭,지상 언로딩 인간 (Cocktail),CONDITIONAL(원자료),0.13446114771419163,-0.03272251991909671,0.32284570547090213,,,비 - 1,HDBR figshare 13633790,동일,n=8
활동량 수준,"실제 비행 (중력만 분리, 초파리)",LEVEL_ONLY(원자료),0.026990000662368896,-0.002245328298196177,0.060437220302240864,,,궤도 1G 대비 비 - 1,OSD-595 / Cell Rep 40:111279,"종(초파리), 명기 전용 측정","궤도상 1G 원심 6모듈 vs uG 5모듈, 16일. 방사선·격리·발사가 양쪽 동일"
활동량 리듬 진폭,실제 비행 설치류 (RR-1),DIRECTION_ONLY,,,,,,"유지 (Dark 0.931 vs Light 0.455, chi2 p<1e-300)",OSD-952,"케이지 단위, baseline 없음, 측정방식(영상분류)",미세중력에서 야행성 행동 리듬이 탐지편향 통제 후에도 유지
활동량 리듬 진폭,실제 비행 설치류 (MHU-1),DIRECTION_ONLY,,,,,,지상대조에서 주간 32.5% / 야간 63.2%,Shimbo 2021 Sci Rep 11:2827,"영상 2개씩뿐, 24h 연속 없음",궤도상 1g 대조가 있으나 시계열이 끊겨 리듬 비교 불가
체온 acrophase,실제 비행 영장류 (Cosmos 2044/2229),LITERATURE,,,,,,위상 지연 (방향만 보고),Fuller 1996 J Appl Physiol 81:188,"n=4, 1990년대, 원자료 없음",비행 중 체온 리듬 위상 지연 + 평균 심박 감소
