variant,tau,strength,oscillating,lo,hi,short,long,short_over_long
기준,23.949025669991954,0.05,True,20.35667181949316,25.54562738132475,3.5923538504987924,1.596601711332795,2.250000000000002
기준,23.949025669991954,0.1,True,19.558370963826764,26.743078664824345,4.39065470616519,2.7940529948323913,1.5714285714285727
v1 -20%,23.021682739928373,0.05,True,19.568430328939115,24.55646158925693,3.4532524109892577,1.534778849328557,2.250000000000003
v1 -20%,23.021682739928373,0.1,True,18.4173461919427,25.70754572625335,4.604336547985675,2.6858629863249774,1.714285714285714
v1 +20%,24.637577535826722,0.05,True,20.941940905452714,26.280082704881835,3.6956366303740076,1.642505169055113,2.250000000000002
v1 +20%,24.637577535826722,0.1,True,19.71006202866138,27.51196158167317,4.927515507165342,2.8743840458464476,1.7142857142857155
v2 -20%,28.89278779506685,0.05,True,24.07732316255571,30.337427184820196,4.815464632511141,1.4446393897533447,3.3333333333333277
v2 -20%,28.89278779506685,0.1,True,23.114230236053483,32.263613037824655,5.778557559013368,3.370825242757803,1.7142857142857117
v2 +20%,20.48026659846306,0.05,True,17.749564385334654,21.162942151745163,2.7307022131284064,0.6826755532821025,3.9999999999999947
v2 +20%,20.48026659846306,0.1,True,16.38421327877045,22.186955481668317,4.096053319692611,1.7066888832052562,2.399999999999998
k3 -20%,24.42729967147112,0.05,True,21.577448043132822,25.648664655044673,2.849851628338296,1.2213649835735545,2.3333333333333353
k3 -20%,24.42729967147112,0.1,True,19.94896139836808,27.277151299809415,4.478338273103038,2.849851628338296,1.5714285714285718
k3 +20%,23.579675149023558,0.05,True,19.256734705035907,25.151653492291796,4.322940443987651,1.5719783432682384,2.7499999999999973
k3 +20%,23.579675149023558,0.1,True,19.256734705035907,26.723631835560035,4.322940443987651,3.1439566865364768,1.3749999999999987
v4 -20%,27.41436099367216,0.05,True,22.388394811498934,29.241985059916974,5.025966182173228,1.8276240662448124,2.7499999999999964
v4 -20%,27.41436099367216,0.1,True,21.93148879493773,30.15579709303938,5.48287219873443,2.741436099367217,1.9999999999999987
v4 +20%,21.50351594015956,0.05,True,18.99477241380761,22.93708366950353,2.5087435263519495,1.4335677293439701,1.7500000000000013
v4 +20%,21.50351594015956,0.1,True,17.20281275212765,24.01225946651151,4.30070318803191,2.5087435263519495,1.714285714285713
k5 -20%,26.422861287444846,0.05,True,22.899813115785534,27.74400435181709,3.523048171659312,1.3211430643722437,2.666666666666663
k5 -20%,26.422861287444846,0.1,True,21.138289029955878,29.505528437646745,5.284572257488968,3.0826671502018996,1.7142857142857133
k5 +20%,22.258548114895802,0.05,True,18.548790095746504,24.11342712447045,3.709758019149298,1.854879009574649,2.0
k5 +20%,22.258548114895802,0.1,True,17.806838491916643,25.22635453021524,4.451709622979159,2.967806415319437,1.500000000000001
n -20%,21.338454288411896,0.05,True,18.493327049956978,23.11665881244622,2.8451272384549178,1.7782045240343258,1.599999999999998
n -20%,21.338454288411896,0.1,True,17.070763430729517,24.53922243167368,4.267690857682378,3.200768143261783,1.3333333333333337
n +20%,26.462866369485862,0.05,True,22.493436414062984,28.22705746078492,3.9694299554228785,1.7641910912990575,2.2499999999999996
n +20%,26.462866369485862,0.1,True,21.17029309558869,29.991248552083977,5.2925732738971725,3.528382182598115,1.5
kdeg -20%,20.270557814985523,0.05,True,17.229974142737696,22.297613596484076,3.040583672247827,2.0270557814985537,1.4999999999999982
kdeg -20%,20.270557814985523,0.1,True,16.55428888223818,23.986826747732866,3.7162689327473437,3.7162689327473437,1.0
kdeg +20%,27.696473549678913,0.05,True,24.003610409721727,29.081297227162857,3.6928631399571863,1.3848236774839435,2.666666666666669
kdeg +20%,27.696473549678913,0.1,True,22.157178839743132,30.927728797141455,5.539294709935781,3.231255247462542,1.7142857142857126
