dataset,subject_id,variable,condition,n_days,phase_sd_h,mean_amplitude
helissen2020,2020_1010038,activity,baseline,2,0.3680643652251976,0.2633230492852472
helissen2020,2020_1010038,activity,recovery,2,1.20994490665489,0.06437268602095016
helissen2020,2020_1010038,activity,treatment,4,4.19058459746378,0.015443815267489888
helissen2020,2020_1010038,tb_sub,baseline,2,0.018013622993033322,0.739982602406184
helissen2020,2020_1010038,tb_sub,recovery,2,1.1595668797497334,0.46722263214908666
helissen2020,2020_1010038,tb_sub,treatment,4,1.2369053990342138,0.1419292574604339
helissen2020,2020_1110412,activity,baseline,2,2.3715738410888867,0.14205978307592987
helissen2020,2020_1110412,activity,recovery,2,0.6499646880420004,0.08896878698435196
helissen2020,2020_1110412,activity,treatment,4,6.143112956883463,0.007615801460893072
helissen2020,2020_1110412,tb_sub,baseline,2,0.8481213540626537,1.0260064157224273
helissen2020,2020_1110412,tb_sub,recovery,2,1.402617127051583,0.7371420867847118
helissen2020,2020_1110412,tb_sub,treatment,4,4.516313020920767,0.202516882788597
helissen2020,2020_1110418,activity,baseline,2,1.013934605750945,0.049107430154950615
helissen2020,2020_1110418,activity,recovery,2,0.32031934193252565,0.06194504662095074
helissen2020,2020_1110418,activity,treatment,4,3.598897590825274,0.010268746249131981
helissen2020,2020_1110418,tb_sub,baseline,2,0.2867940071813556,0.5207140612894
helissen2020,2020_1110418,tb_sub,recovery,2,1.5013242374958904,0.6891716365416531
helissen2020,2020_1110418,tb_sub,treatment,4,4.80138929204692,0.16775353905311632
helissen2020,2020_1111871,activity,baseline,2,0.23254604840739887,0.08271669585356689
helissen2020,2020_1111871,activity,recovery,2,2.251665611790428,0.048558799861568025
helissen2020,2020_1111871,activity,treatment,4,8.702996465602256,0.00736959426791518
helissen2020,2020_1111871,tb_sub,baseline,2,0.7252166571633637,0.9447436595135059
helissen2020,2020_1111871,tb_sub,recovery,2,1.5767322938457988,0.7351763692145248
helissen2020,2020_1111871,tb_sub,treatment,4,4.541826758533911,0.2609319899118826
