variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
activity,helissen2020,4,5,1.0,0.1175,0.3680643652251976,4.19058459746378
activity,helissen2020,4,5,2.0,0.308,0.3680643652251976,4.19058459746378
activity,helissen2020,4,5,3.0,0.571,0.3680643652251976,4.19058459746378
activity,helissen2020,4,7,1.0,0.136,0.3680643652251976,4.19058459746378
activity,helissen2020,4,7,2.0,0.4165,0.3680643652251976,4.19058459746378
activity,helissen2020,4,7,3.0,0.712,0.3680643652251976,4.19058459746378
activity,helissen2020,4,10,1.0,0.1915,0.3680643652251976,4.19058459746378
activity,helissen2020,4,10,2.0,0.5345,0.3680643652251976,4.19058459746378
activity,helissen2020,4,10,3.0,0.844,0.3680643652251976,4.19058459746378
activity,helissen2020,4,14,1.0,0.257,0.3680643652251976,4.19058459746378
activity,helissen2020,4,14,2.0,0.6505,0.3680643652251976,4.19058459746378
activity,helissen2020,4,14,3.0,0.9205,0.3680643652251976,4.19058459746378
activity,helissen2020,4,21,1.0,0.321,0.3680643652251976,4.19058459746378
activity,helissen2020,4,21,2.0,0.8115,0.3680643652251976,4.19058459746378
activity,helissen2020,4,21,3.0,0.9805,0.3680643652251976,4.19058459746378
activity,helissen2020,6,5,1.0,0.171,0.3680643652251976,4.19058459746378
activity,helissen2020,6,5,2.0,0.56,0.3680643652251976,4.19058459746378
activity,helissen2020,6,5,3.0,0.872,0.3680643652251976,4.19058459746378
activity,helissen2020,6,7,1.0,0.249,0.3680643652251976,4.19058459746378
activity,helissen2020,6,7,2.0,0.6825,0.3680643652251976,4.19058459746378
activity,helissen2020,6,7,3.0,0.9555,0.3680643652251976,4.19058459746378
activity,helissen2020,6,10,1.0,0.3225,0.3680643652251976,4.19058459746378
activity,helissen2020,6,10,2.0,0.837,0.3680643652251976,4.19058459746378
activity,helissen2020,6,10,3.0,0.989,0.3680643652251976,4.19058459746378
activity,helissen2020,6,14,1.0,0.418,0.3680643652251976,4.19058459746378
activity,helissen2020,6,14,2.0,0.916,0.3680643652251976,4.19058459746378
activity,helissen2020,6,14,3.0,0.997,0.3680643652251976,4.19058459746378
activity,helissen2020,6,21,1.0,0.5715,0.3680643652251976,4.19058459746378
activity,helissen2020,6,21,2.0,0.9815,0.3680643652251976,4.19058459746378
activity,helissen2020,6,21,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,8,5,1.0,0.241,0.3680643652251976,4.19058459746378
activity,helissen2020,8,5,2.0,0.738,0.3680643652251976,4.19058459746378
activity,helissen2020,8,5,3.0,0.9735,0.3680643652251976,4.19058459746378
activity,helissen2020,8,7,1.0,0.324,0.3680643652251976,4.19058459746378
activity,helissen2020,8,7,2.0,0.856,0.3680643652251976,4.19058459746378
activity,helissen2020,8,7,3.0,0.995,0.3680643652251976,4.19058459746378
activity,helissen2020,8,10,1.0,0.4485,0.3680643652251976,4.19058459746378
activity,helissen2020,8,10,2.0,0.9485,0.3680643652251976,4.19058459746378
activity,helissen2020,8,10,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,8,14,1.0,0.5735,0.3680643652251976,4.19058459746378
activity,helissen2020,8,14,2.0,0.99,0.3680643652251976,4.19058459746378
activity,helissen2020,8,14,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,8,21,1.0,0.7365,0.3680643652251976,4.19058459746378
activity,helissen2020,8,21,2.0,0.999,0.3680643652251976,4.19058459746378
activity,helissen2020,8,21,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,10,5,1.0,0.318,0.3680643652251976,4.19058459746378
activity,helissen2020,10,5,2.0,0.8505,0.3680643652251976,4.19058459746378
activity,helissen2020,10,5,3.0,0.9955,0.3680643652251976,4.19058459746378
activity,helissen2020,10,7,1.0,0.446,0.3680643652251976,4.19058459746378
activity,helissen2020,10,7,2.0,0.94,0.3680643652251976,4.19058459746378
activity,helissen2020,10,7,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,10,10,1.0,0.5625,0.3680643652251976,4.19058459746378
activity,helissen2020,10,10,2.0,0.985,0.3680643652251976,4.19058459746378
activity,helissen2020,10,10,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,10,14,1.0,0.693,0.3680643652251976,4.19058459746378
activity,helissen2020,10,14,2.0,0.9985,0.3680643652251976,4.19058459746378
activity,helissen2020,10,14,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,10,21,1.0,0.827,0.3680643652251976,4.19058459746378
activity,helissen2020,10,21,2.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,10,21,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,12,5,1.0,0.383,0.3680643652251976,4.19058459746378
activity,helissen2020,12,5,2.0,0.914,0.3680643652251976,4.19058459746378
activity,helissen2020,12,5,3.0,0.9995,0.3680643652251976,4.19058459746378
activity,helissen2020,12,7,1.0,0.506,0.3680643652251976,4.19058459746378
activity,helissen2020,12,7,2.0,0.977,0.3680643652251976,4.19058459746378
activity,helissen2020,12,7,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,12,10,1.0,0.642,0.3680643652251976,4.19058459746378
activity,helissen2020,12,10,2.0,0.9955,0.3680643652251976,4.19058459746378
activity,helissen2020,12,10,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,12,14,1.0,0.788,0.3680643652251976,4.19058459746378
activity,helissen2020,12,14,2.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,12,14,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,12,21,1.0,0.921,0.3680643652251976,4.19058459746378
activity,helissen2020,12,21,2.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,12,21,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,5,1.0,0.518,0.3680643652251976,4.19058459746378
activity,helissen2020,16,5,2.0,0.9755,0.3680643652251976,4.19058459746378
activity,helissen2020,16,5,3.0,0.999,0.3680643652251976,4.19058459746378
activity,helissen2020,16,7,1.0,0.643,0.3680643652251976,4.19058459746378
activity,helissen2020,16,7,2.0,0.9975,0.3680643652251976,4.19058459746378
activity,helissen2020,16,7,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,10,1.0,0.8015,0.3680643652251976,4.19058459746378
activity,helissen2020,16,10,2.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,10,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,14,1.0,0.9105,0.3680643652251976,4.19058459746378
activity,helissen2020,16,14,2.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,14,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,21,1.0,0.9805,0.3680643652251976,4.19058459746378
activity,helissen2020,16,21,2.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2020,16,21,3.0,1.0,0.3680643652251976,4.19058459746378
activity,helissen2021,4,5,1.0,0.102,0.13747515642163574,5.217705393830799
activity,helissen2021,4,5,2.0,0.241,0.13747515642163574,5.217705393830799
activity,helissen2021,4,5,3.0,0.425,0.13747515642163574,5.217705393830799
activity,helissen2021,4,7,1.0,0.1185,0.13747515642163574,5.217705393830799
activity,helissen2021,4,7,2.0,0.292,0.13747515642163574,5.217705393830799
activity,helissen2021,4,7,3.0,0.543,0.13747515642163574,5.217705393830799
activity,helissen2021,4,10,1.0,0.129,0.13747515642163574,5.217705393830799
activity,helissen2021,4,10,2.0,0.395,0.13747515642163574,5.217705393830799
activity,helissen2021,4,10,3.0,0.705,0.13747515642163574,5.217705393830799
activity,helissen2021,4,14,1.0,0.172,0.13747515642163574,5.217705393830799
activity,helissen2021,4,14,2.0,0.4775,0.13747515642163574,5.217705393830799
activity,helissen2021,4,14,3.0,0.797,0.13747515642163574,5.217705393830799
activity,helissen2021,4,21,1.0,0.2335,0.13747515642163574,5.217705393830799
activity,helissen2021,4,21,2.0,0.6645,0.13747515642163574,5.217705393830799
activity,helissen2021,4,21,3.0,0.922,0.13747515642163574,5.217705393830799
activity,helissen2021,6,5,1.0,0.1425,0.13747515642163574,5.217705393830799
activity,helissen2021,6,5,2.0,0.3855,0.13747515642163574,5.217705393830799
activity,helissen2021,6,5,3.0,0.711,0.13747515642163574,5.217705393830799
activity,helissen2021,6,7,1.0,0.173,0.13747515642163574,5.217705393830799
activity,helissen2021,6,7,2.0,0.5045,0.13747515642163574,5.217705393830799
activity,helissen2021,6,7,3.0,0.839,0.13747515642163574,5.217705393830799
activity,helissen2021,6,10,1.0,0.2255,0.13747515642163574,5.217705393830799
activity,helissen2021,6,10,2.0,0.646,0.13747515642163574,5.217705393830799
activity,helissen2021,6,10,3.0,0.9395,0.13747515642163574,5.217705393830799
activity,helissen2021,6,14,1.0,0.3165,0.13747515642163574,5.217705393830799
activity,helissen2021,6,14,2.0,0.7935,0.13747515642163574,5.217705393830799
activity,helissen2021,6,14,3.0,0.9885,0.13747515642163574,5.217705393830799
activity,helissen2021,6,21,1.0,0.398,0.13747515642163574,5.217705393830799
activity,helissen2021,6,21,2.0,0.9135,0.13747515642163574,5.217705393830799
