variable,dataset,dphi,n_needed
tb_core,helissen2022,1.0,8.0
tb_core,helissen2022,2.0,4.0
tb_core,helissen2022,3.0,4.0
tb_sub,helissen2020,1.0,16.0
tb_sub,helissen2020,2.0,6.0
tb_sub,helissen2020,3.0,4.0
tb_sub,helissen2021,1.0,12.0
tb_sub,helissen2021,2.0,6.0
tb_sub,helissen2021,3.0,4.0
activity,helissen2020,1.0,16.0
activity,helissen2020,2.0,6.0
activity,helissen2020,3.0,4.0
activity,helissen2021,1.0,
activity,helissen2021,2.0,8.0
activity,helissen2021,3.0,6.0
activity,helissen2022,1.0,16.0
activity,helissen2022,2.0,6.0
activity,helissen2022,3.0,4.0
