term,OSD_ID,title,organism,measurement,source_type
telemetry,OSD-738,"Effects of Space Flight on Inflammasome Activation in the Brain of Mice (Brain, Western Blot and ECL",Mus musculus,protein quantification     protein quantification     protei,alsda     cgene
telemetry,OSD-583,Characterization of mouse ocular responses (intraocular pressure) to a 35-day (RR-9) spaceflight mis,Mus musculus,Intraocular Pressure,alsda
telemetry,OSD-568,Characterization of mouse ocular responses (Microscopy) to a 35-day (RR-9) spaceflight mission: Evid,Mus musculus,Molecular Cellular Imaging     Molecular Cellular Imaging   ,cgene     alsda
telemetry,OSD-319,"Muscle atrophy, osteoporosis prevention in hibernating mammals",Urocitellus parryii,transcription profiling,cgene
telemetry,OSD-898,Spaceflight induces oxidative damage to blood‐brain barrier integrity in a mouse model,Mus musculus,Molecular Cellular Imaging     Molecular Cellular Imaging   ,alsda
telemetry,OSD-222,STS-135 Cerebellum Transcriptomics,Mus musculus,transcription profiling,cgene
telemetry,OSD-557,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress related damage",Mus musculus,Bone Microstructure     Histological Assay     Molecular Cel,alsda
telemetry,OSD-536,Gene expression profiling for spaceflight induced-neuroinflammation in the mouse brain,Mus musculus,transcription profiling,cgene
telemetry,OSD-7,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl ",Arabidopsis thaliana,transcription profiling,cgene
telemetry,OSD-108,STS-135 Liver Metabolomics,Mus musculus,metabolite profiling,cgene
telemetry,OSD-205,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight micro,Arabidopsis thaliana,transcription profiling,cgene
telemetry,OSD-173,STS-135: Mouse Liver Transcriptomics using RNA-Seq,Mus musculus,transcription profiling,cgene
telemetry,OSD-17,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedling,Arabidopsis thaliana,transcription profiling,cgene
telemetry,OSD-147,Arg1 functions in the physiological adaptation of undifferentiated plant cells to spaceflight,Arabidopsis thaliana,transcription profiling,cgene
telemetry,OSD-25,STS-135 Liver Transcriptomics,Mus musculus,transcription profiling,cgene
telemetry,OSD-715,Characterization of mouse ocular response to a 35-day spaceflight mission: Evidence of blood-retinal,Mus musculus,protein expression profiling,cgene
telemetry,OSD-255,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage",Mus musculus,transcription profiling,cgene
telemetry,OSD-684,Human skeletal muscle tissue chip autonomous payload reveals changes in fiber type and metabolic gen,Homo sapiens,transcription profiling,cgene
core body temperature,OSD-681,"Head-Down Tilt As a Model for Intracranial and Intraocular Pressures, and Retinal Changes during Spa",Rattus norvegicus,Body Temperature     Intracranial Pressure,alsda
core body temperature,OSD-319,"Muscle atrophy, osteoporosis prevention in hibernating mammals",Urocitellus parryii,transcription profiling,cgene
core body temperature,OSD-305,Transcriptomic responses of Serratia liquefaciens cells grown under simulated Martian conditions of ,Serratia liquefaciens,transcription profiling,cgene
core body temperature,OSD-690,Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice,Mus musculus,transcription profiling,cgene
core body temperature,OSD-354,Molecular Transducers of Human Skeletal Muscle Remodeling under Different Loading States,Homo sapiens,transcription profiling,cgene
core body temperature,OSD-678,Light has a principal role in the Arabidopsis transcriptomic response to the spaceflight environment,Arabidopsis thaliana,transcription profiling,cgene
core body temperature,OSD-47,"Rodent Research-1 (RR1) National Lab Validation Flight: Mouse liver transcriptomic, proteomic, epige",Mus musculus,transcription profiling     protein expression profiling    ,cgene     alsda
