SYMBOL,EDL,adrenal gland,gastrocnemius,kidney,liver,quadriceps,soleus,tibialis anterior
Bhlhe40,0.0018,0.2431,0.9187,0.5656,0.0282,0.4382,0.0178,0.158
Bhlhe41,0.0,0.5486,0.8313,0.0,0.0001,0.181,0.0,0.0
Bmal1,0.0004,0.0178,0.0,0.0,0.0004,0.0,0.0036,0.0
Ciart,0.0079,0.0001,0.0012,0.1919,0.3157,0.0,0.0,0.0
Clock,0.0504,0.0137,0.0,0.4702,0.0003,0.0003,0.0,0.0
Cry1,0.0003,0.9966,0.1027,0.1692,0.0025,0.0305,0.0,0.0
Cry2,0.0079,0.9949,0.0882,0.0224,0.1127,0.0326,0.0,0.0002
Dbp,0.0004,0.089,0.0007,0.0,0.0001,0.0,0.0,0.0
Hlf,0.0,0.6531,0.2159,0.4886,0.9539,0.0,0.8253,0.0
Npas2,0.013,0.0439,0.0,0.0,0.0002,0.0003,0.0,0.0003
Nr1d1,0.0042,0.177,0.9777,0.0,0.0405,0.046,0.5755,0.0317
Nr1d2,0.0002,0.5143,0.0043,0.0,0.0434,0.0002,0.0035,0.0004
Per1,0.6874,0.9186,0.5161,0.9203,0.573,0.0324,0.2446,0.1102
Per2,0.0,0.9981,0.0,0.0483,0.9708,0.0,0.0,0.0
Per3,0.0,0.3725,0.0,0.0,0.0267,0.0,0.0008,0.0
Tef,0.0,0.0001,0.1562,0.0001,0.0251,0.0213,0.0448,0.0
