SYMBOL,EDL,adrenal gland,gastrocnemius,kidney,liver,quadriceps,soleus,tibialis anterior
Bhlhe40,-0.487,-0.345,0.089,-0.244,-0.603,-0.25,-0.284,-0.282
Bhlhe41,-0.526,-0.637,-0.176,-1.129,-2.461,-0.449,-0.907,-0.682
Bmal1,0.927,1.516,0.83,1.04,2.306,0.64,0.475,1.105
Ciart,-1.614,-1.578,-1.476,-0.983,-1.088,-1.719,-2.912,-2.204
Clock,0.204,0.346,0.378,0.143,0.774,0.36,0.309,0.382
Cry1,0.605,-0.073,0.297,0.422,1.016,0.45,0.639,0.658
Cry2,-0.339,-0.127,-0.396,-0.423,-0.303,-0.337,-0.629,-0.539
Dbp,-1.79,-1.028,-1.674,-2.206,-3.71,-2.182,-1.709,-2.211
Hlf,-0.735,-0.403,-0.435,-0.217,0.02,-0.76,-0.049,-0.672
Npas2,1.182,1.683,1.839,1.437,2.956,1.451,1.077,1.259
Nr1d1,-0.397,-0.605,-0.034,-0.741,-0.957,-0.4,-0.101,-0.279
Nr1d2,-0.49,-0.412,-0.477,-0.891,-0.856,-0.54,-0.311,-0.48
Per1,-0.171,0.252,-0.338,-0.083,-0.34,-0.51,-0.408,-0.254
Per2,-1.608,0.021,-1.526,-0.707,-0.029,-1.483,-1.105,-1.606
Per3,-1.2,-0.827,-1.349,-1.2,-1.841,-1.167,-0.466,-1.597
Tef,-0.691,-0.967,-0.352,-0.652,-1.133,-0.412,0.215,-0.661
