OSD_ID,tissue,paradigm,gene,log2fc,fdr,contrast,flipped,note
OSD-99,EDL,FLIGHT,Fbxo32,-0.324628535438869,0.0984801011859904,Log2fc_(Space Flight)v(Ground Control),False,
OSD-99,EDL,FLIGHT,Trim63,0.0372354947037365,0.909405606564702,Log2fc_(Space Flight)v(Ground Control),False,
OSD-99,EDL,FLIGHT,Foxo1,0.490919786627542,0.0184661157749581,Log2fc_(Space Flight)v(Ground Control),False,
OSD-99,EDL,FLIGHT,Foxo3,-0.161461869083952,0.0327538111682846,Log2fc_(Space Flight)v(Ground Control),False,
OSD-99,EDL,FLIGHT,Mstn,-0.166390977400776,0.36643676461198,Log2fc_(Space Flight)v(Ground Control),False,
OSD-99,EDL,FLIGHT,Ampd3,0.189380164745273,0.0351932609896807,Log2fc_(Space Flight)v(Ground Control),False,
OSD-101,gastrocnemius,FLIGHT,Fbxo32,-0.0192950759295081,0.993044877710147,Log2fc_(Space Flight)v(Ground Control),False,
OSD-101,gastrocnemius,FLIGHT,Trim63,0.145411247622752,0.92254999584115,Log2fc_(Space Flight)v(Ground Control),False,
OSD-101,gastrocnemius,FLIGHT,Foxo1,0.0028034859261698,0.998345439784432,Log2fc_(Space Flight)v(Ground Control),False,
OSD-101,gastrocnemius,FLIGHT,Foxo3,0.0148946072639056,0.976572818900843,Log2fc_(Space Flight)v(Ground Control),False,
OSD-101,gastrocnemius,FLIGHT,Mstn,0.0018810074577968,0.998820232171946,Log2fc_(Space Flight)v(Ground Control),False,
OSD-101,gastrocnemius,FLIGHT,Ampd3,-0.118909667829929,0.926302588939549,Log2fc_(Space Flight)v(Ground Control),False,
OSD-103,quadriceps,FLIGHT,Fbxo32,-0.309767283488712,0.380097539420138,Log2fc_(Space Flight)v(Ground Control),False,
OSD-103,quadriceps,FLIGHT,Trim63,0.11396637865109,0.831319142585383,Log2fc_(Space Flight)v(Ground Control),False,
OSD-103,quadriceps,FLIGHT,Foxo1,0.204963707638268,0.510836474558571,Log2fc_(Space Flight)v(Ground Control),False,
OSD-103,quadriceps,FLIGHT,Foxo3,-0.146526194313552,0.243454804632486,Log2fc_(Space Flight)v(Ground Control),False,
OSD-103,quadriceps,FLIGHT,Mstn,-0.0381797460144262,0.948857099539967,Log2fc_(Space Flight)v(Ground Control),False,
OSD-103,quadriceps,FLIGHT,Ampd3,-0.121990255404157,0.793967833684062,Log2fc_(Space Flight)v(Ground Control),False,
OSD-104,soleus,FLIGHT,Fbxo32,-0.357697795459318,0.0023847350477692,Log2fc_(Space Flight)v(Ground Control),False,
OSD-104,soleus,FLIGHT,Trim63,-0.310206086139024,0.0023973834926206,Log2fc_(Space Flight)v(Ground Control),False,
OSD-104,soleus,FLIGHT,Foxo1,0.226990741416084,0.286985062818321,Log2fc_(Space Flight)v(Ground Control),False,
OSD-104,soleus,FLIGHT,Foxo3,-0.0767260639542261,0.527065907993033,Log2fc_(Space Flight)v(Ground Control),False,
OSD-104,soleus,FLIGHT,Mstn,0.878859344819288,0.0026150340209471,Log2fc_(Space Flight)v(Ground Control),False,
OSD-104,soleus,FLIGHT,Ampd3,0.0078903099500171,0.967822074643639,Log2fc_(Space Flight)v(Ground Control),False,
OSD-105,tibialis anterior,FLIGHT,Fbxo32,-0.0305494406448539,0.971589906087522,Log2fc_(Space Flight)v(Ground Control),False,
OSD-105,tibialis anterior,FLIGHT,Trim63,0.406423966348312,0.476623073373904,Log2fc_(Space Flight)v(Ground Control),False,
OSD-105,tibialis anterior,FLIGHT,Foxo1,0.290985712771852,0.19818311149458,Log2fc_(Space Flight)v(Ground Control),False,
OSD-105,tibialis anterior,FLIGHT,Foxo3,-0.112931307905024,0.383911273767847,Log2fc_(Space Flight)v(Ground Control),False,
OSD-105,tibialis anterior,FLIGHT,Mstn,0.220542835407678,0.260051608803663,Log2fc_(Space Flight)v(Ground Control),False,
OSD-105,tibialis anterior,FLIGHT,Ampd3,-0.0964455104041232,0.599666927220719,Log2fc_(Space Flight)v(Ground Control),False,
OSD-876,gastrocnemius,HLU,Fbxo32,-0.43157060831609,0.001371047587402,Log2fc_(Hindlimb Unloaded and Reloaded)v(Normally Loaded Control),False,
OSD-876,gastrocnemius,HLU,Trim63,0.525432595668717,9.23677021339802e-05,Log2fc_(Hindlimb Unloaded and Reloaded)v(Normally Loaded Control),False,
OSD-876,gastrocnemius,HLU,Foxo1,0.117712346239004,0.66944207971768,Log2fc_(Hindlimb Unloaded and Reloaded)v(Normally Loaded Control),False,
OSD-876,gastrocnemius,HLU,Foxo3,-0.119825933793031,0.508429229006983,Log2fc_(Hindlimb Unloaded and Reloaded)v(Normally Loaded Control),False,
OSD-876,gastrocnemius,HLU,Mstn,-0.524724660920676,7.71536539166497e-06,Log2fc_(Hindlimb Unloaded and Reloaded)v(Normally Loaded Control),False,
OSD-876,gastrocnemius,HLU,Ampd3,1.90844308773202,4.87847749804829e-41,Log2fc_(Hindlimb Unloaded and Reloaded)v(Normally Loaded Control),False,
OSD-880,gastrocnemius,HLU,Fbxo32,-1.4008223790514,1.895165550339e-07,Log2fc_(Control & Hindlimb Unloaded and Reloaded)v(Control & Normally Loaded Con,False,
OSD-880,gastrocnemius,HLU,Trim63,-0.0832526511855171,0.540471296689889,Log2fc_(Control & Hindlimb Unloaded and Reloaded)v(Control & Normally Loaded Con,False,
OSD-880,gastrocnemius,HLU,Foxo1,-0.190656376550927,0.40187752073334,Log2fc_(Control & Hindlimb Unloaded and Reloaded)v(Control & Normally Loaded Con,False,
OSD-880,gastrocnemius,HLU,Foxo3,-0.260701547817468,0.0566607015536769,Log2fc_(Control & Hindlimb Unloaded and Reloaded)v(Control & Normally Loaded Con,False,
OSD-880,gastrocnemius,HLU,Mstn,0.295675156458707,0.110046302998947,Log2fc_(Control & Hindlimb Unloaded and Reloaded)v(Control & Normally Loaded Con,False,
OSD-880,gastrocnemius,HLU,Ampd3,0.43993569942793,0.0653410923983539,Log2fc_(Control & Hindlimb Unloaded and Reloaded)v(Control & Normally Loaded Con,False,
OSD-935,soleus,HLU,Fbxo32,0.467963699623271,0.0027063563441807,Log2fc_(Hindlimb Unloaded & x-ray radiation & corticosterone)v(Normally Loaded C,False,
OSD-935,soleus,HLU,Trim63,-0.121721817575349,0.493430443896727,Log2fc_(Hindlimb Unloaded & x-ray radiation & corticosterone)v(Normally Loaded C,False,
OSD-935,soleus,HLU,Foxo1,0.549969182382551,0.0004755248511146,Log2fc_(Hindlimb Unloaded & x-ray radiation & corticosterone)v(Normally Loaded C,False,
OSD-935,soleus,HLU,Foxo3,0.127279155207373,0.158684421132171,Log2fc_(Hindlimb Unloaded & x-ray radiation & corticosterone)v(Normally Loaded C,False,
OSD-935,soleus,HLU,Mstn,1.65224810349184,2.28593485602423e-10,Log2fc_(Hindlimb Unloaded & x-ray radiation & corticosterone)v(Normally Loaded C,False,
OSD-935,soleus,HLU,Ampd3,-0.585511666780886,5.09667579770855e-05,Log2fc_(Hindlimb Unloaded & x-ray radiation & corticosterone)v(Normally Loaded C,False,
OSD-949,soleus,HLU,Fbxo32,0.965856628068187,0.455794752637629,Log2fc_(AMPKalpha mKO & Female & Hindlimb Unloaded)v(AMPKalpha mKO & Female & No,False,
OSD-949,soleus,HLU,Trim63,0.544255133259649,0.711023875716974,Log2fc_(AMPKalpha mKO & Female & Hindlimb Unloaded)v(AMPKalpha mKO & Female & No,False,
OSD-949,soleus,HLU,Foxo1,0.257250338171831,0.854255223938467,Log2fc_(AMPKalpha mKO & Female & Hindlimb Unloaded)v(AMPKalpha mKO & Female & No,False,
OSD-949,soleus,HLU,Foxo3,-0.0846868572967735,0.92296294661475,Log2fc_(AMPKalpha mKO & Female & Hindlimb Unloaded)v(AMPKalpha mKO & Female & No,False,
OSD-949,soleus,HLU,Mstn,1.32213686926477,0.455580817708874,Log2fc_(AMPKalpha mKO & Female & Hindlimb Unloaded)v(AMPKalpha mKO & Female & No,False,
OSD-949,soleus,HLU,Ampd3,-0.10405193412405,0.922261304632578,Log2fc_(AMPKalpha mKO & Female & Hindlimb Unloaded)v(AMPKalpha mKO & Female & No,False,
