OSD_ID,tissue,paradigm,gene,log2fc,fdr
OSD-99,EDL,FLIGHT,Fbxo32,-0.324628535438869,0.0984801011859904
OSD-99,EDL,FLIGHT,Trim63,0.0372354947037365,0.909405606564702
OSD-99,EDL,FLIGHT,Myh7,-0.224006580322472,0.801654488995177
OSD-99,EDL,FLIGHT,Myh4,-0.200095702273593,0.213319328782255
OSD-99,EDL,FLIGHT,Myh1,-0.110167866727035,0.606717415315001
OSD-99,EDL,FLIGHT,Myh2,0.602787942985967,0.0002588179034103
OSD-99,EDL,FLIGHT,Foxo1,0.490919786627542,0.0184661157749581
OSD-99,EDL,FLIGHT,Foxo3,-0.161461869083952,0.0327538111682846
OSD-99,EDL,FLIGHT,Mstn,-0.166390977400776,0.36643676461198
OSD-99,EDL,FLIGHT,Ampd3,0.189380164745273,0.0351932609896807
OSD-101,gastrocnemius,FLIGHT,Fbxo32,-0.0192950759295081,0.993044877710147
OSD-101,gastrocnemius,FLIGHT,Trim63,0.145411247622752,0.92254999584115
OSD-101,gastrocnemius,FLIGHT,Myh7,-0.370498861811009,0.955379276225501
OSD-101,gastrocnemius,FLIGHT,Myh4,-0.110662195492364,0.924872603239668
OSD-101,gastrocnemius,FLIGHT,Myh1,0.71308963071738,0.578839865199906
OSD-101,gastrocnemius,FLIGHT,Myh2,-0.0946122389035682,0.981306200715719
OSD-101,gastrocnemius,FLIGHT,Foxo1,0.0028034859261698,0.998345439784432
OSD-101,gastrocnemius,FLIGHT,Foxo3,0.0148946072639056,0.976572818900843
OSD-101,gastrocnemius,FLIGHT,Mstn,0.0018810074577968,0.998820232171946
OSD-101,gastrocnemius,FLIGHT,Ampd3,-0.118909667829929,0.926302588939549
OSD-103,quadriceps,FLIGHT,Fbxo32,-0.309767283488712,0.380097539420138
OSD-103,quadriceps,FLIGHT,Trim63,0.11396637865109,0.831319142585383
OSD-103,quadriceps,FLIGHT,Myh7,0.012128664306752,0.997412589988259
OSD-103,quadriceps,FLIGHT,Myh4,-0.281563391290631,0.10505990327165
OSD-103,quadriceps,FLIGHT,Myh1,-0.0266287323716555,0.98293154390447
OSD-103,quadriceps,FLIGHT,Myh2,0.761655718276249,0.634134075409599
OSD-103,quadriceps,FLIGHT,Foxo1,0.204963707638268,0.510836474558571
