SYMBOL,dorsal skin (OSD-237),gastrocnemius (OSD-876),gastrocnemius (OSD-880),soleus (OSD-935),soleus (OSD-949),spleen (OSD-201),spleen (OSD-211)
Bhlhe40,0.2965,0.0001,0.031,0.5546,0.8107,1.0,0.8952
Bhlhe41,0.0968,0.0002,0.8641,0.6257,0.9547,1.0,0.9791
Bmal1,0.9713,0.9368,0.7386,0.0,0.9583,1.0,0.9556
Ciart,0.9765,0.0136,0.0931,0.0057,0.6726,1.0,0.9719
Clock,0.9839,0.2157,0.6986,0.005,0.9768,1.0,0.9387
Cry1,0.0864,0.8254,0.9618,0.0,0.9974,1.0,0.7566
Cry2,0.0949,0.0969,0.4258,0.8346,0.7269,1.0,0.9896
Dbp,0.1479,0.9745,0.8454,0.0042,0.9797,1.0,0.9896
Hlf,0.08,0.7369,0.8875,0.1475,0.6896,1.0,0.9846
Npas2,,,0.727,0.0674,0.823,1.0,0.9912
Nr1d1,0.074,0.6706,0.9117,0.5651,0.9092,1.0,0.98
Nr1d2,0.2388,0.8652,0.7897,0.3377,0.7388,1.0,0.9875
Per1,0.2083,0.0,0.2952,0.4797,0.2267,1.0,0.9916
Per2,0.2433,0.5041,0.8068,0.6066,0.9836,1.0,0.7568
Per3,0.1507,0.0016,0.5989,0.3689,0.3938,1.0,0.9909
Tef,0.1696,0.9114,0.6941,0.0,0.3005,1.0,0.9601
