SYMBOL,dorsal skin (OSD-237),gastrocnemius (OSD-876),gastrocnemius (OSD-880),soleus (OSD-935),soleus (OSD-949),spleen (OSD-201),spleen (OSD-211)
Bhlhe40,-0.129,0.516,0.539,-0.118,0.459,-0.118,-0.246
Bhlhe41,-0.406,-0.582,0.07,0.106,-0.132,-0.406,-0.189
Bmal1,0.012,0.067,-0.473,0.79,-0.142,-0.071,-0.117
Ciart,-0.014,0.8,0.889,-0.92,0.927,0.185,-0.194
Clock,-0.005,0.328,0.194,0.269,0.052,-0.042,-0.157
Cry1,0.709,0.104,0.032,0.654,-0.004,-0.144,-0.291
Cry2,-0.58,0.303,0.325,0.036,0.31,0.046,-0.081
Dbp,-0.905,0.014,0.144,-1.232,-0.09,0.219,0.09
Hlf,-1.027,-0.137,0.162,0.208,0.53,-0.13,-0.17
Npas2,-0.459,-0.598,-0.756,0.394,-0.575,-0.035,-0.157
Nr1d1,-1.022,0.12,0.116,-0.131,0.179,0.404,0.139
Nr1d2,-0.493,0.043,0.1,0.094,0.262,0.15,0.073
Per1,-0.476,0.993,0.572,0.241,0.996,0.203,-0.058
Per2,-0.511,0.212,0.345,0.171,-0.076,0.111,-0.444
Per3,-0.71,0.466,0.392,0.171,0.705,0.192,-0.09
Tef,-0.636,-0.021,0.153,0.445,0.511,0.024,-0.165
