SYMBOL,brain,dorsal skin,retina,spleen
Bhlhe40,0.75,-0.129,-0.213,-0.246
Bhlhe41,-0.168,-0.406,-0.236,-0.189
Bmal1,0.555,0.012,-0.058,-0.117
Ciart,0.611,-0.014,-0.511,-0.194
Clock,0.179,-0.005,0.033,-0.157
Cry1,0.063,0.709,-0.13,-0.291
Cry2,0.407,-0.58,-0.276,-0.081
Dbp,-0.326,-0.905,-0.038,0.09
Hlf,0.491,-1.027,-0.191,-0.17
Npas2,0.494,-0.459,0.194,-0.157
Nr1d1,0.308,-1.022,-0.179,0.139
Nr1d2,-0.27,-0.493,0.058,0.073
Per1,0.597,-0.476,-0.522,-0.058
Per2,0.293,-0.511,-0.277,-0.444
Per3,-0.12,-0.71,0.012,-0.09
Tef,0.095,-0.636,-0.012,-0.165
