comparison,gene,n_a,n_b,diff_log2,ci_low,ci_high,cohens_d,p_uncorrected
HLU vs NormalLoaded,Arntl,5,5,-0.302,-0.713,0.109,-1.07,0.1283
HLU vs NormalLoaded,Bhlhe40,5,5,-0.385,-1.381,0.61,-0.56,0.3981
HLU vs NormalLoaded,Bhlhe41,5,5,0.433,-0.299,1.165,0.86,0.2096
HLU vs NormalLoaded,Clock,5,5,-0.255,-0.517,0.007,-1.42,0.0551
HLU vs NormalLoaded,Cry1,5,5,-0.071,-0.383,0.241,-0.33,0.6142
HLU vs NormalLoaded,Cry2,5,5,-0.051,-0.601,0.5,-0.13,0.8368
HLU vs NormalLoaded,Dbp,5,5,0.074,-0.937,1.084,0.11,0.8708
HLU vs NormalLoaded,Hlf,5,5,0.082,-0.083,0.247,0.73,0.2833
HLU vs NormalLoaded,Npas2,5,5,0.182,-0.12,0.483,0.88,0.2022
HLU vs NormalLoaded,Nr1d1,5,5,-0.264,-0.793,0.265,-0.73,0.2838
HLU vs NormalLoaded,Nr1d2,5,5,-0.747,-2.237,0.744,-0.73,0.2814
HLU vs NormalLoaded,Per1,5,5,-0.111,-0.603,0.382,-0.33,0.6191
HLU vs NormalLoaded,Per2,5,5,0.267,-0.014,0.548,1.39,0.0599
HLU vs NormalLoaded,Per3,5,5,0.163,-0.069,0.395,1.02,0.1438
HLU vs NormalLoaded,Tef,5,5,0.055,-0.174,0.284,0.35,0.5969
HLU+Reloaded vs NormalLoaded,Arntl,5,5,-0.369,-0.734,-0.004,-1.48,0.0478
HLU+Reloaded vs NormalLoaded,Bhlhe40,5,5,-0.467,-0.8,-0.133,-2.04,0.0121
HLU+Reloaded vs NormalLoaded,Bhlhe41,5,5,0.071,-0.146,0.288,0.48,0.4729
HLU+Reloaded vs NormalLoaded,Clock,5,5,-0.097,-0.233,0.039,-1.04,0.1379
HLU+Reloaded vs NormalLoaded,Cry1,5,5,-0.002,-0.204,0.201,-0.01,0.9858
HLU+Reloaded vs NormalLoaded,Cry2,5,5,0.284,0.024,0.544,1.59,0.0357
HLU+Reloaded vs NormalLoaded,Dbp,5,5,0.265,-0.711,1.24,0.4,0.549
HLU+Reloaded vs NormalLoaded,Hlf,5,5,0.229,0.063,0.395,2.01,0.013
HLU+Reloaded vs NormalLoaded,Npas2,5,5,-0.152,-0.351,0.047,-1.12,0.1156
HLU+Reloaded vs NormalLoaded,Nr1d1,5,5,-0.224,-0.406,-0.042,-1.8,0.0218
HLU+Reloaded vs NormalLoaded,Nr1d2,5,5,0.3,0.026,0.573,1.6,0.0354
HLU+Reloaded vs NormalLoaded,Per1,5,5,-0.248,-0.476,-0.021,-1.59,0.0359
HLU+Reloaded vs NormalLoaded,Per2,5,5,0.216,-0.011,0.443,1.39,0.0597
HLU+Reloaded vs NormalLoaded,Per3,5,5,0.073,-0.02,0.166,1.15,0.1065
HLU+Reloaded vs NormalLoaded,Tef,5,5,0.073,0.003,0.143,1.51,0.0436
HLU+Reloaded vs HLU,Arntl,5,5,-0.067,-0.543,0.408,-0.21,0.7531
HLU+Reloaded vs HLU,Bhlhe40,5,5,-0.081,-1.095,0.933,-0.12,0.8582
HLU+Reloaded vs HLU,Bhlhe41,5,5,-0.362,-1.082,0.357,-0.73,0.2789
HLU+Reloaded vs HLU,Clock,5,5,0.158,-0.086,0.402,0.94,0.174
HLU+Reloaded vs HLU,Cry1,5,5,0.069,-0.19,0.329,0.39,0.5551
HLU+Reloaded vs HLU,Cry2,5,5,0.335,-0.24,0.909,0.85,0.2162
HLU+Reloaded vs HLU,Dbp,5,5,0.191,-0.943,1.325,0.25,0.7078
HLU+Reloaded vs HLU,Hlf,5,5,0.147,-0.033,0.326,1.19,0.096
HLU+Reloaded vs HLU,Npas2,5,5,-0.334,-0.675,0.008,-1.42,0.0544
HLU+Reloaded vs HLU,Nr1d1,5,5,0.039,-0.484,0.562,0.11,0.8662
HLU+Reloaded vs HLU,Nr1d2,5,5,1.046,-0.427,2.519,1.04,0.1401
HLU+Reloaded vs HLU,Per1,5,5,-0.138,-0.664,0.388,-0.38,0.5629
HLU+Reloaded vs HLU,Per2,5,5,-0.051,-0.393,0.291,-0.22,0.7382
HLU+Reloaded vs HLU,Per3,5,5,-0.09,-0.315,0.136,-0.58,0.3873
HLU+Reloaded vs HLU,Tef,5,5,0.018,-0.203,0.239,0.12,0.8561
Flight vs GroundControl,Arntl,4,4,0.458,0.14,0.776,2.49,0.0125
Flight vs GroundControl,Bhlhe40,4,4,0.401,-0.113,0.914,1.35,0.1048
Flight vs GroundControl,Bhlhe41,4,4,-0.032,-0.486,0.421,-0.12,0.8667
Flight vs GroundControl,Clock,4,4,0.166,-0.117,0.448,1.02,0.2011
Flight vs GroundControl,Cry1,4,4,-0.066,-0.428,0.296,-0.32,0.6705
Flight vs GroundControl,Cry2,4,4,0.607,0.038,1.175,1.85,0.04
Flight vs GroundControl,Dbp,4,4,-0.504,-1.235,0.227,-1.19,0.1423
Flight vs GroundControl,Hlf,4,4,-0.215,-0.356,-0.073,-2.63,0.0099
Flight vs GroundControl,Npas2,4,4,0.013,-0.194,0.22,0.11,0.8837
Flight vs GroundControl,Nr1d1,4,4,0.374,0.168,0.581,3.13,0.0044
Flight vs GroundControl,Nr1d2,4,4,-0.315,-0.713,0.082,-1.37,0.1005
Flight vs GroundControl,Per1,4,4,1.585,0.732,2.438,3.21,0.0039
Flight vs GroundControl,Per2,4,4,0.037,-0.153,0.226,0.33,0.654
Flight vs GroundControl,Per3,4,4,-0.166,-0.353,0.022,-1.53,0.0735
Flight vs GroundControl,Tef,4,4,-0.21,-0.432,0.013,-1.63,0.0604
