OSD_ID,tissue,series,n_genes,n_DEG_fdr05,all_absfc_median,clock_absfc_median,clock_enrichment,clock_pctile,sd_log2fc_all,Bmal1_log2fc
OSD-98,adrenal gland,FLIGHT-A,23994,52,0.1496,0.5088,3.401,0.8069,0.9954,1.516
OSD-99,EDL,FLIGHT-A,22241,2843,0.1937,0.6484,3.348,0.841,0.6669,0.927
OSD-101,gastrocnemius,FLIGHT-A,23258,242,0.158,0.4156,2.631,0.7636,0.5678,0.83
OSD-102,kidney,FLIGHT-A,24807,286,0.137,0.7238,5.282,0.9041,0.5429,1.04
OSD-103,quadriceps,FLIGHT-A,22916,786,0.1823,0.525,2.88,0.8099,0.5704,0.64
OSD-104,soleus,FLIGHT-A,22438,5002,0.2478,0.4704,1.899,0.6985,0.8453,0.475
OSD-105,tibialis anterior,FLIGHT-A,22804,1201,0.1567,0.6667,4.254,0.873,0.6058,1.105
OSD-168,liver,FLIGHT-A,31428,5065,0.4928,0.9861,2.001,0.6908,1.1671,2.306
OSD-202,brain,HLU-A,27801,195,0.4325,0.317,0.733,0.406,1.1371,0.555
OSD-203,retina,HLU-A,29772,30,0.2251,0.1851,0.822,0.4504,0.999,-0.058
OSD-211,spleen,HLU-A,28111,7,0.2479,0.1568,0.633,0.3504,0.9601,-0.117
OSD-237,dorsal skin,HLU-A,29231,196,0.3633,0.5022,1.382,0.6139,0.9314,0.012
