OSD_ID,tissue,mission,I4,DEG,source
OSD-102,kidney,RR-1,5.282,286.0,v1 (어제)
OSD-105,tibialis anterior,RR-1,4.254,1201.0,v1 (어제)
OSD-98,adrenal gland,RR-1,3.401,52.0,v1 (어제)
OSD-99,EDL,RR-1,3.348,2843.0,v1 (어제)
OSD-103,quadriceps,RR-1,2.88,786.0,v1 (어제)
OSD-101,gastrocnemius,RR-1,2.631,242.0,v1 (어제)
OSD-168,liver,RR-1,2.001,5065.0,v1 (어제)
OSD-104,soleus,RR-1,1.899,5002.0,v1 (어제)
OSD-770,가자미근,기타 미션,1.529,5899.0,v2 (조직매칭)
OSD-288,비장,기타 미션,1.209,95.0,v2 (조직매칭)
OSD-238,등쪽피부,기타 미션,0.912,2988.0,v2 (조직매칭)
OSD-714,가자미근,기타 미션,0.766,7024.0,v2 (조직매칭)
OSD-758,망막,기타 미션,0.735,693.0,v2 (조직매칭)
OSD-506,비장,기타 미션,0.636,501.0,v2 (조직매칭)
OSD-255,망막,기타 미션,0.581,362.0,v2 (조직매칭)
OSD-254,등쪽피부,기타 미션,0.527,61.0,v2 (조직매칭)
