미션군,미션,조직,근육,OSD_ID,DEG,I4
RR-1,RR-1,EDL,근육,OSD-99,2843.0,3.348
RR-1,RR-1,가자미근,근육,OSD-104,5002.0,1.899
RR-1,RR-1,간,비근육,OSD-168,5065.0,2.001
RR-1,RR-1,부신,비근육,OSD-98,52.0,3.401
RR-1,RR-1,비복근,근육,OSD-101,242.0,2.631
RR-1,RR-1,사두근,근육,OSD-103,786.0,2.88
RR-1,RR-1,신장,비근육,OSD-102,286.0,5.282
RR-1,RR-1,전경골근,근육,OSD-105,1201.0,4.254
기타 미션,JAXA MHU-1/4/5,가자미근,근육,OSD-714,7024.0,0.766
기타 미션,RR-23,가자미근,근육,OSD-770,5899.0,1.529
기타 미션,JAXA MHU-2,등쪽피부,비근육,OSD-238,2988.0,0.912
기타 미션,RR-7,등쪽피부,비근육,OSD-254,61.0,0.527
기타 미션,RR-9,망막,비근육,OSD-255,362.0,0.581
기타 미션,JAXA MHU-8,망막,비근육,OSD-758,693.0,0.735
기타 미션,JAXA MHU-1,비장,비근육,OSD-288,95.0,1.209
기타 미션,RR-23,비장,비근육,OSD-506,501.0,0.636
