조직,OSD_ID,처리,대비_처리,대비_대조,부호반전,n_유전자,DEG,clock_n,전역_absfc_중앙값,clock_absfc_중앙값,I4,clock_백분위,Bmal1_log2fc,채택,제외사유
비복근,OSD-876,HLU,Hindlimb Unloaded,Normally Loaded Control,False,17671.0,944.0,16.0,0.2408,0.2574,1.069,0.5245,0.067,True,
비복근,OSD-880,HLU,Control & Hindlimb Unloaded,Control & Normally Loaded Control,False,20335.0,1159.0,16.0,0.2352,0.2595,1.104,0.5312,-0.473,True,
비복근,OSD-101,FLIGHT,Space Flight,Ground Control,True,23258.0,242.0,16.0,0.158,0.4156,2.631,0.7636,0.83,True,
비복근,OSD-419,FLIGHT,Space Flight,Ground Control,True,17185.0,14.0,16.0,0.4577,0.3152,0.689,0.395,1.14,False,신호 없음 (DEG 14 < 30)
가자미근,OSD-935,HLU,,,,,,,,,,,,False,"대비 불가 (후보 4개 전부 탈락: 배경 불일치 ['corticosterone', 'x-ray radiation'] vs ['Non-treated', 'sham irradiation']; 처리측이 중력 감소 조건 아님; 처리측이 중력 감소 조건 아님)"
가자미근,OSD-949,HLU,Control & Female & Hindlimb Unloaded,Control & Female & Normally Loaded Control,False,24504.0,382.0,16.0,0.3809,0.2859,0.751,0.4081,-0.142,True,
가자미근,OSD-104,FLIGHT,Space Flight,Ground Control,True,22438.0,5002.0,16.0,0.2478,0.4704,1.899,0.6985,0.475,True,
가자미근,OSD-714,FLIGHT,Mouse Habitat Unit 1 (MHU-1) & Space Flight & uG,Mouse Habitat Unit 1 (MHU-1) & Ground Control & 1G on Earth,True,22183.0,7024.0,16.0,0.6159,0.4718,0.766,0.4119,0.04,True,
가자미근,OSD-770,FLIGHT,Space Flight,Ground Control,True,30934.0,5899.0,16.0,0.5149,0.7872,1.529,0.6315,1.384,True,
비장,OSD-201,HLU,Hindlimb Unloaded & not tetanus toxoid injected & not CpG injected,Hindlimb Loaded Control & not tetanus toxoid injected & not CpG inject,True,22518.0,1.0,16.0,0.1559,0.2427,1.557,0.6207,0.249,False,신호 없음 (DEG 1 < 30)
비장,OSD-211,HLU,Hindlimb Unloaded & non-irradiated,Normally Loaded Control & non-irradiated,False,28111.0,7.0,16.0,0.2479,0.1568,0.633,0.3504,-0.117,False,신호 없음 (DEG 7 < 30)
비장,OSD-246,FLIGHT,Space Flight & ~30 day & On Earth & Upon euthanasia,Ground Control & ~30 day & On Earth & Upon euthanasia,True,36045.0,0.0,16.0,0.1842,0.0698,0.379,0.2611,0.023,False,신호 없음 (DEG 0 < 30)
비장,OSD-288,FLIGHT,Space Flight & uG,Ground Control & 1G on Earth,True,21390.0,95.0,16.0,0.1766,0.2136,1.209,0.5617,-0.238,True,
비장,OSD-506,FLIGHT,Space Flight,Ground Control,True,31394.0,501.0,16.0,0.2422,0.154,0.636,0.3549,0.029,True,
망막,OSD-203,HLU,1 month & non-irradiated & Hindlimb Unloaded,1 month & non-irradiated & Normally Loaded Control,False,29772.0,30.0,16.0,0.2251,0.1851,0.822,0.4504,-0.058,True,
망막,OSD-87,FLIGHT,Space Flight,Ground Control,True,45101.0,0.0,31.0,0.0925,0.109,1.179,0.5668,,False,신호 없음 (DEG 0 < 30)
망막,OSD-194,FLIGHT,Space Flight,Ground Control,True,27024.0,1.0,16.0,0.1894,0.1216,0.642,0.3519,-0.023,False,신호 없음 (DEG 1 < 30)
망막,OSD-255,FLIGHT,Space Flight,Ground Control,True,23472.0,362.0,16.0,0.1471,0.0855,0.581,0.3336,-0.08,True,
망막,OSD-758,FLIGHT,Space Flight & uG,Ground Control & 1G on Earth,True,30027.0,693.0,16.0,0.2518,0.1851,0.735,0.4031,0.014,True,
등쪽피부,OSD-237,HLU,Hindlimb Unloaded & non-irradiated,Normally Loaded Control & non-irradiated,False,29231.0,196.0,16.0,0.3633,0.5022,1.382,0.6139,0.012,True,
등쪽피부,OSD-238,FLIGHT,Space Flight & uG & JAXA Chow with FOS,Ground Control & 1G on Earth & JAXA Chow with FOS,True,28997.0,2988.0,16.0,0.4471,0.4078,0.912,0.4714,0.378,True,
등쪽피부,OSD-240,FLIGHT,Space Flight,Ground Control,True,28575.0,23.0,16.0,0.1625,0.1943,1.196,0.5574,-0.042,False,신호 없음 (DEG 23 < 30)
등쪽피부,OSD-243,FLIGHT,Space Flight & ~30 day & On Earth & Upon euthanasia,Ground Control & ~30 day & On Earth & Upon euthanasia,True,32810.0,5.0,16.0,0.2405,0.223,0.927,0.4759,0.096,False,신호 없음 (DEG 5 < 30)
등쪽피부,OSD-254,FLIGHT,C3H/HeJ & Space Flight & ~25 day,C3H/HeJ & Ground Control & ~25 day,True,32853.0,61.0,16.0,0.2689,0.1418,0.527,0.3322,-0.234,True,
